person_name,category,person_type,sub_category,birth_year,description
サム・アルトマン,ビジネス,REAL,AI起業家,1985,OpenAI CEO。ChatGPTを世界に送り出したAI革命の中心人物
イリヤ・サツケバー,科学・技術,REAL,AI研究者,1986,OpenAI共同創設者・元チーフサイエンティスト。ディープラーニングの先駆者
デミス・ハサビス,科学・技術,REAL,AI研究者,1976,DeepMind創設者・CEO。AlphaGo、AlphaFoldで世界を驚かせた
ジェフリー・ヒントン,科学・技術,REAL,AI研究者,1947,深層学習の父。2024年ノーベル物理学賞受賞
ヤン・ルカン,科学・技術,REAL,AI研究者,1960,CNN発明者。Meta AIチーフサイエンティスト。チューリング賞受賞
ヨシュア・ベンジオ,科学・技術,REAL,AI研究者,1964,ディープラーニングの先駆者。チューリング賞受賞
アンドリュー・ング,科学・技術,REAL,AI研究者,1976,スタンフォード教授。Google Brain共同創設者。Coursera創設者
フェイフェイ・リー,科学・技術,REAL,AI研究者,1976,ImageNet創設者。スタンフォードAIラボ元所長
ダリオ・アモデイ,ビジネス,REAL,AI起業家,1983,Anthropic CEO・共同創設者。Claude開発元
ダニエラ・アモデイ,ビジネス,REAL,AI起業家,1984,Anthropic社長・共同創設者。AIの安全性研究をリード
