person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
光宮,幽☆遊☆白書,アニメ,FICTIONAL,霊界探偵。桑原と親友。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/幽☆遊☆白書,active,16
蔵馬,幽☆遊☆白書,アニメ,FICTIONAL,元妖狐。人間として転生。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/幽☆遊☆白書,active,17
飛影,幽☆遊☆白書,アニメ,FICTIONAL,三眼の妖怪。剣術の達人。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/幽☆遊☆白書,active,16
桑原和真,幽☆遊☆白書,アニメ,FICTIONAL,幽助の親友。霊感が強い。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/幽☆遊☆白書,active,17
浦飯幽助,幽☆遊☆白書,アニメ,FICTIONAL,霊界探偵。不良少年。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/幽☆遊☆白書,active,16
螢子,幽☆遊☆白書,アニメ,FICTIONAL,幽助の幼馴染。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/幽☆遊☆白書,active,17
越前リョーマ,テニスの王子様,スポーツ,FICTIONAL,テニスの天才少年。青春学園テニス部。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,16
手塚国光,テニスの王子様,スポーツ,FICTIONAL,青春学園テニス部部長。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,17
不二周助,テニスの王子様,スポーツ,FICTIONAL,天才的なテニスセンス。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,16
大石秀一郎,テニスの王子様,スポーツ,FICTIONAL,青春学園テニス部副部長。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,17
菊丸英二,テニスの王子様,スポーツ,FICTIONAL,アクロバティックプレイ。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,16
乾貞治,テニスの王子様,スポーツ,FICTIONAL,データテニスの使い手。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,17
海堂薫,テニスの王子様,スポーツ,FICTIONAL,スネイクの使い手。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,16
桃城武,テニスの王子様,スポーツ,FICTIONAL,パワープレイヤー。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/テニスの王子様,active,17
黒子テツヤ,黒子のバスケ,スポーツ,FICTIONAL,影薄い幻のシックスマン。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,16
火神大我,黒子のバスケ,スポーツ,FICTIONAL,帰国子女のパワーフォワード。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,17
青峰大輝,黒子のバスケ,スポーツ,FICTIONAL,キセキの世代。天才スコアラー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,16
黄瀬涼太,黒子のバスケ,スポーツ,FICTIONAL,キセキの世代。コピー能力。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,17
緑間真太郎,黒子のバスケ,スポーツ,FICTIONAL,キセキの世代。超長距離シューター。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,16
紫原敦,黒子のバスケ,スポーツ,FICTIONAL,キセキの世代。巨大センター。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,17
赤司征十郎,黒子のバスケ,スポーツ,FICTIONAL,キセキの世代。絶対的な司令塔。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,16
桐皇学園,黒子のバスケ,スポーツ,FICTIONAL,強豪校。,,,C,fictional_characters,https://ja.wikipedia.org/wiki/黒子のバスケ,active,17
