person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
桜木花道,スラムダンク,バスケ,FICTIONAL,湘北高校バスケ部。赤髪の不良少年。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,16
流川楓,スラムダンク,バスケ,FICTIONAL,湘北高校のエース。クールな天才プレイヤー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,16
赤木剛憲,スラムダンク,バスケ,FICTIONAL,湘北高校キャプテン。ゴール下の王者。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
三井寿,スラムダンク,バスケ,FICTIONAL,湘北高校のシューター。元不良。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
宮城リョータ,スラムダンク,バスケ,FICTIONAL,湘北高校ポイントガード。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,16
工藤新一,名探偵コナン,推理,FICTIONAL,高校生探偵。コナンの正体。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
毛利蘭,名探偵コナン,推理,FICTIONAL,新一の幼馴染。空手の達人。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
灰原哀,名探偵コナン,推理,FICTIONAL,元黒の組織の科学者。小さくなった。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/名探偵コナン,active,18
服部平次,名探偵コナン,推理,FICTIONAL,西の高校生探偵。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
遠山和葉,名探偵コナン,推理,FICTIONAL,平次の幼馴染。合気道の使い手。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
夜神月,DEATH NOTE,サスペンス,FICTIONAL,デスノートを拾った高校生。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/DEATH_NOTE,active,17
竈門炭治郎,鬼滅の刃,少年漫画,FICTIONAL,鬼殺隊の剣士。妹を救うため戦う。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,15
竈門禰豆子,鬼滅の刃,少年漫画,FICTIONAL,炭治郎の妹。鬼になった少女。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,14
我妻善逸,鬼滅の刃,少年漫画,FICTIONAL,鬼殺隊の剣士。雷の呼吸。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,16
嘴平伊之助,鬼滅の刃,少年漫画,FICTIONAL,鬼殺隊の剣士。猪頭の野生児。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,15
煉獄杏寿郎,鬼滅の刃,少年漫画,FICTIONAL,炎柱。熱血の剣士。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,20
冨岡義勇,鬼滅の刃,少年漫画,FICTIONAL,水柱。寡黙な剣士。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,21
胡蝶しのぶ,鬼滅の刃,少年漫画,FICTIONAL,蟲柱。毒を使う剣士。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鬼滅の刃,active,18
黒崎一護,BLEACH,少年漫画,FICTIONAL,死神代行の高校生。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/BLEACH,active,15
朽木ルキア,BLEACH,少年漫画,FICTIONAL,死神。一護に力を与えた。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/BLEACH,active,150
石田雨竜,BLEACH,少年漫画,FICTIONAL,滅却師の高校生。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/BLEACH,active,15
井上織姫,BLEACH,少年漫画,FICTIONAL,一護の同級生。回復能力を持つ。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/BLEACH,active,15
茶渡泰虎,BLEACH,少年漫画,FICTIONAL,一護の友人。怪力の持ち主。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/BLEACH,active,15
日向翔陽,ハイキュー!!,バレー,FICTIONAL,烏野高校バレー部。小さな巨人を目指す。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
影山飛雄,ハイキュー!!,バレー,FICTIONAL,烏野高校セッター。天才的なトス。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
月島蛍,ハイキュー!!,バレー,FICTIONAL,烏野高校ミドルブロッカー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
山口忠,ハイキュー!!,バレー,FICTIONAL,烏野高校ピンチサーバー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
西谷夕,ハイキュー!!,バレー,FICTIONAL,烏野高校リベロ。守護神。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
東堂葵,呪術廻戦,少年漫画,FICTIONAL,京都校の三年生。最強の術師。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/呪術廻戦,active,18
禪院真希,呪術廻戦,少年漫画,FICTIONAL,東京校の二年生。身体能力が高い。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/呪術廻戦,active,17
狗巻棘,呪術廻戦,少年漫画,FICTIONAL,東京校の二年生。呪言師。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/呪術廻戦,active,17
パンダ,呪術廻戦,少年漫画,FICTIONAL,東京校の二年生。突然変異呪骸。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/呪術廻戦,active,17
乙骨憂太,呪術廻戦,少年漫画,FICTIONAL,特級呪術師。里香の呪いを受けた。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/呪術廻戦,active,17
エレン・イェーガー,進撃の巨人,少年漫画,FICTIONAL,調査兵団の兵士。巨人を駆逐する。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/進撃の巨人,active,15
ミカサ・アッカーマン,進撃の巨人,少年漫画,FICTIONAL,エレンの幼馴染。戦闘の天才。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/進撃の巨人,active,15
