﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,surprise_score,name_raw,title,affiliation,display_name_original,generated_at,last_modified
,PC302AD8,伊能忠敬,,73,科学・技術,301,あなたと同じ73歳のとき、伊能忠敬は17年間にわたる全国測量の集大成となる「大日本沿海輿地全図」の完成を目前にしていました。しかし、年齢を重ねてもなお精力的に作業を続けた忠敬は、この年に病に倒れ、地図の完成を見ることなく江戸の自宅で息を引きました。55歳という当時としては高齢で測量事業を始め、73歳まで日本全土を歩き続けた彼の情熱は、弟子たちに確実に受け継がれました。忠敬の死後3年、弟子たちの手によって完成した精密な日本地図は、幕府に献上され、日本の近代地図学の礎となりました。晩年まで学問への探究心を失わず、後進を育てた忠敬の姿勢は、年齢に関わらず挑戦し続けることの尊さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:33:46,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,科学・技術,,,,,,,,60歳以上,,,,,,,,,,,,
,P0898C9B,葛飾北斎,,78,芸術・文化,302,あなたと同じ78歳のとき、葛飾北斎は代表作「富嶽三十六景」を完成させました。年齢を重ねてもなお、北斎の創作意欲は衰えることを知りませんでした。この連作では、富士山を様々な角度や季節、場所から描き、特に「神奈川沖浪裏」は世界的な名作として知られています。北斎は「70歳までの作品は取るに足らない」と語り、75歳を過ぎてようやく真の画技に近づいたと自負していました。この時期、彼は新しい構図や大胆な色使いに挑戦し続け、西洋の遠近法も取り入れながら、独自の浮世絵表現を確立しました。晩年の円熟した技術と、なお革新を求める姿勢が融合したこの傑作は、年齢に関わらず挑戦し続けることの大切さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:33:55,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,芸術・文化,,,,,,,,60歳以上,,,,,,,,,,,,
,PCFA4BEC,日野原重明,,76,医学・健康,319,あなたと同じ76歳のとき、日野原重明は聖路加国際病院の院長として、医療現場の最前線に立ち続けていました。この年齢を重ねてもなお、彼は毎朝早くから病院に出勤し、患者一人ひとりと向き合う診療を続けました。特に印象的だったのは、従来の「成人病」という呼称を「生活習慣病」に改めるよう提唱したことです。これは病気の原因が遺伝や加齢だけでなく、日々の生活習慣にあることを強調し、予防医学の重要性を国民に広く訴えかける画期的な取り組みでした。この概念は後に厚生省（当時）にも採用され、日本の予防医療の考え方を大きく変える契機となりました。晩年の円熟した知見から生まれたこの提言は、高齢になっても社会に新しい価値を生み出せることを示す好例となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:03,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,医学・健康,,,,,,,,60歳以上,,,,,,,,,,,,
,PF35F62B,黒柳徹子,,85,エンターテイメント,297,あなたと同じ85歳のとき、黒柳徹子はユニセフ親善大使として30年以上の活動実績を持ち、世界中の子どもたちのために精力的に活動を続けていました。年齢を重ねてもなお、紛争地域や貧困地域への現地訪問を続け、その経験を日本に持ち帰って子どもたちの現状を伝え続けました。また、『徹子の部屋』は放送開始から40年以上を経ても続く長寿番組として、毎日の収録に臨み続けました。彼女の変わらぬ好奇心と、相手の話に真摯に耳を傾ける姿勢は、多くの視聴者に感動を与え続けています。トレードマークの玉ねぎヘアと明るい笑顔で、高齢になっても現役で活躍し続ける姿は、年齢に関係なく社会貢献できることを示す象徴となっています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:11,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,60歳以上,,,,,,,,,,,,
,P4B0C3A0,森光子,,84,エンターテイメント,282,あなたと同じ84歳のとき、森光子は『放浪記』の2000回公演という前人未到の記録を達成しました。1961年の初演から48年、80歳を超えてなお、舞台で激しく動き回る主人公・林芙美子を演じ続けた姿は、多くの人々に感動を与えました。森は日々のスクワット200回という厳しいトレーニングを欠かさず、「舞台に立てることが最高の幸せ」と語り、年齢を重ねてもなお、女優としての情熱を失いませんでした。この偉業は、高齢になっても挑戦を続ける姿勢の大切さを示す象徴として、演劇界のみならず社会全体に大きな影響を与え、「生涯現役」という生き方の素晴らしさを体現した瞬間となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:19,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,60歳以上,,,,,,,,,,,,
,P33DB5A0,瀬戸内寂聴,,74,文学,307,あなたと同じ74歳のとき、瀬戸内寂聴は10年の歳月をかけた『源氏物語』全54帖の現代語訳を完成させました。出家後も旺盛な創作活動を続けていた彼女は、この大事業に60代半ばから取り組み、平安時代の雅な世界を現代の読者にも親しみやすい言葉で蘇らせました。膨大な古典文学を訳し終えた達成感について、寂聴は「源氏と生きた10年間だった」と語り、年齢を重ねてもなお新たな挑戦を続ける姿勢を示しました。この現代語訳は大ベストセラーとなり、多くの若い世代に『源氏物語』の魅力を伝えることに成功しました。晩年における彼女の知的探究心と文学への情熱は、高齢になっても大きな仕事を成し遂げられることを証明する輝かしい実例となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:28,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,文学,,,,,,,,60歳以上,,,,,,,,,,,,
,PEF622C9,ピカソ,,77,芸術・文化,300,あなたと同じ77歳のとき、ピカソは驚異的な創作意欲を見せていました。1958年、彼はユネスコ本部の壁画「イカロスの墜落」を完成させ、年齢を重ねてもなお革新的な表現を追求し続けました。この時期、ピカソは南フランスのカンヌで制作に没頭し、陶芸作品や絵画を次々と生み出していました。特筆すべきは、彼が若い頃と変わらぬ実験精神を持ち続け、新しい技法や素材に挑戦し続けたことです。「私は常に若者のように制作する。年齢など関係ない」と語ったピカソの言葉通り、晩年期においても一日10時間以上アトリエにこもり、生涯で5万点以上もの作品を残す原動力となりました。彼の姿は、創造性に定年はないことを世界に示したのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:37,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,芸術・文化,,,,,,,,60歳以上,,,,,,,,,,,,
,PBC4ECE7,黒澤明,,73,映画・演劇,300,"あなたと同じ73歳のとき、黒澤明は『乱』を完成させ世界に送り出しました。製作費27億円という当時の日本映画史上最高額を投じたこの大作は、10年にわたる構想と資金調達の苦闘の末に実現したものでした。年齢を重ねてもなお、シェイクスピアの「リア王」を戦国時代に翻案した壮大なビジョンを諦めず、フランスのプロデューサー、セルジュ・シルベルマンの支援を得て撮影を敢行。撮影現場では細部まで妥協を許さず、特に合戦シーンでは1,400人のエキストラと200頭の馬を動員し、円熟の演出力で圧倒的な映像美を創造しました。この作品はカンヌ国際映画祭でグランプリに輝き、巨匠が晩年に到達した芸術的境地を世界に示したのです。",ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:46,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,映画・演劇,,,,,,,,60歳以上,,,,,,,,,,,,
,P7F88681,宮崎駿,,77,アニメ・漫画・ゲーム,296,あなたと同じ77歳のとき、宮崎駿は長編アニメーション映画『風立ちぬ』を完成させ、これを最後の作品として引退を表明しました。零戦設計者・堀越二郎の半生を描いたこの作品は、戦争と創造の矛盾という重いテーマに正面から向き合った、円熟の境地を示す作品となりました。制作中、彼は「美しいものを作りたいという欲望と、それが戦争に使われる矛盾」について深く悩み、若い頃とは異なる視点で人間の業を見つめました。年齢を重ねてもなお、むしろ晩年だからこそ描ける人生の複雑さと美しさを追求し続けた姿勢は、創作に年齢の限界はないことを証明しています。この引退宣言は後に撤回され、彼は再び新作に取り組むことになります。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:34:54,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,アニメ・漫画・ゲーム,,,,,,,,60歳以上,,,,,,,,,,,,
,PED05B4D,吉田茂,,71,政治・社会,264,あなたと同じ71歳のとき、吉田茂は首相退任後も精力的に活動し、1957年に回顧録『回想十年』を刊行しました。この著作で彼は、占領下の日本再建という困難な時代を振り返り、マッカーサーとの交渉や講和条約締結の舞台裏を率直に綴りました。年齢を重ねてもなお、鋭い洞察力と記憶力を保ち、時には辛辣な人物評価も交えながら、戦後日本の進むべき道を示そうとしました。現役を退いても国家の将来を案じ続ける姿勢は、経験と知恵を持つ高齢者が社会に果たせる重要な役割を示しています。葉巻を燻らせながら執筆に励む姿は、晩年における新たな挑戦の象徴でした。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:35:03,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,政治・社会,,,,,,,,60歳以上,,,,,,,,,,,,
