person_name,age,category,hint
モーツァルト,5,音楽,5歳で作曲開始
ピカソ,9,美術,幼少期から絵の才能
アインシュタイン,12,科学・技術,12歳で微積分を独学
マイケル・ジャクソン,11,音楽,ジャクソン5で活躍
タイガー・ウッズ,3,スポーツ,3歳でゴルフ開始
スティービー・ワンダー,11,音楽,盲目の天才少年
ボビー・フィッシャー,13,スポーツ,13歳でチェス全米チャンピオン
シャーリー・テンプル,6,映画・演劇,子役スター
マコーレー・カルキン,10,映画・演劇,ホームアローン
ダコタ・ファニング,7,映画・演劇,子役女優
芦田愛菜,7,俳優・女優,天才子役
福原愛,4,スポーツ,泣き虫愛ちゃん
藤井聡太,14,スポーツ,史上最年少プロ棋士
羽生善治,15,スポーツ,将棋の天才
谷川浩司,13,スポーツ,将棋の神童
ヨーヨー・マ,5,音楽,チェロの神童
五嶋みどり,11,音楽,バイオリンの天才
ラン・ラン,9,音楽,ピアノの神童
ジュディ・ガーランド,13,映画・演劇,オズの魔法使い
ナタリー・ポートマン,12,映画・演劇,レオン出演
エマ・ワトソン,11,映画・演劇,ハリーポッター
ダニエル・ラドクリフ,11,映画・演劇,ハリーポッター主演
本田望結,9,俳優・女優,子役・フィギュアスケート
鈴木福,8,俳優・女優,マルモのおきて
寺田心,6,俳優・女優,子役
クロード・シャノン,82,科学・技術,情報理論の父
ジョン・グッドイナフ,97,科学・技術,リチウムイオン電池発明者
赤崎勇,85,科学・技術,青色LED開発
大村智,80,科学・技術,ノーベル生理学・医学賞
本庶佑,76,科学・技術,ノーベル生理学・医学賞
野依良治,81,科学・技術,ノーベル化学賞
白川英樹,79,科学・技術,導電性高分子
鈴木章,80,科学・技術,鈴木カップリング反応
根岸英一,79,科学・技術,クロスカップリング反応
田中耕一,83,科学・技術,ノーベル化学賞
吉野彰,71,科学・技術,リチウムイオン電池
真鍋淑郎,90,科学・技術,気候モデル
ジェームズ・ワトソン,90,科学・技術,DNA二重らせん
フランシス・クリック,77,科学・技術,DNA構造解明
リチャード・ファインマン,69,科学・技術,量子電磁力学
スティーブン・ホーキング,76,科学・技術,ブラックホール理論
マリー・キュリー,66,科学・技術,ラジウム発見
アラン・チューリング,41,科学・技術,コンピュータの父
ジョン・フォン・ノイマン,53,科学・技術,ゲーム理論
クロード・シャノン,84,科学・技術,情報理論
ティム・バーナーズ=リー,69,科学・技術,WWW発明者
