person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
スターウォーズ皇帝,スターウォーズ,SF,FICTIONAL,銀河帝国の皇帝パルパティーン。シスの暗黒卿。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,95
オビ=ワン・ケノービ,スターウォーズ,SF,FICTIONAL,ジェダイマスター。アナキンの師匠。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,96
メイス・ウィンドゥ,スターウォーズ,SF,FICTIONAL,ジェダイ評議会メンバー。紫のライトセーバー。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,97
キ=アディ=ムンディ,スターウォーズ,SF,FICTIONAL,ジェダイマスター。長い頭が特徴。,,,B,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,98
プロ・クーン,スターウォーズ,SF,FICTIONAL,ジェダイマスター。ケル・ドア族。,,,B,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,99
ヨーダのスピリット,スターウォーズ,SF,FICTIONAL,フォースの霊体として現れるヨーダ。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,100
ハリソン・フォード版ハン・ソロ,スターウォーズ,SF,FICTIONAL,老年のハン・ソロ。密輸業者。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,95
チューバッカ,スターウォーズ,SF,FICTIONAL,ウーキー族の戦士。200歳以上。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,96
ジャバ・ザ・ハット,スターウォーズ,SF,FICTIONAL,犯罪王。ハット族。600歳。,,,A,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,97
ダース・プレイガス,スターウォーズ,SF,FICTIONAL,シスの暗黒卿。パルパティーンの師。,,,B,sf,https://ja.wikipedia.org/wiki/スター・ウォーズ,active,98
アルフレッド・ペニーワース,バットマン,アメコミ,FICTIONAL,バットマンの執事。忠実な従者。,,,A,comics,https://ja.wikipedia.org/wiki/バットマン,active,95
ゴードン警部,バットマン,アメコミ,FICTIONAL,ゴッサムシティの警部。バットマンの協力者。,,,A,comics,https://ja.wikipedia.org/wiki/バットマン,active,96
J・ジョナ・ジェイムソン,スパイダーマン,アメコミ,FICTIONAL,デイリー・ビューグルの編集長。,,,B,comics,https://ja.wikipedia.org/wiki/スパイダーマン,active,97
メイ・パーカー,スパイダーマン,アメコミ,FICTIONAL,ピーターの叔母。優しい老婦人。,,,A,comics,https://ja.wikipedia.org/wiki/スパイダーマン,active,98
スタン・リー,マーベル,アメコミ,FICTIONAL,マーベルの創設者。カメオ出演の常連。,,,A,comics,https://ja.wikipedia.org/wiki/マーベル・コミック,active,99
チャールズ・エグゼビア,X-MEN,アメコミ,FICTIONAL,プロフェッサーX。X-MENの創設者。,,,A,comics,https://ja.wikipedia.org/wiki/X-メン,active,100
マグニートー,X-MEN,アメコミ,FICTIONAL,ミュータントの指導者。磁力操作能力。,,,A,comics,https://ja.wikipedia.org/wiki/X-メン,active,95
ローガン老年,X-MEN,アメコミ,FICTIONAL,老いたウルヴァリン。ローガンの未来。,,,A,comics,https://ja.wikipedia.org/wiki/X-メン,active,96
ペギー・カーター老年,マーベル,アメコミ,FICTIONAL,シールドの創設者。老年のペギー。,,,B,comics,https://ja.wikipedia.org/wiki/マーベル・コミック,active,97
ニック・フューリー,マーベル,アメコミ,FICTIONAL,シールドの長官。眼帯が特徴。,,,A,comics,https://ja.wikipedia.org/wiki/マーベル・コミック,active,98
