episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,年代,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度
,P2FC4699,草間彌生,,93,芸術・文化,292,あなたと同じ93歳のとき、草間彌生は創作活動の手を緩めることなく、世界的なアートシーンの最前線に立ち続けていました。2022年、彼女は東京・新宿の自身のスタジオで、毎日車椅子に座りながらも絵筆を握り、水玉模様やカボチャをモチーフにした新作を次々と生み出していました。10代の頃から向き合ってきた幻覚や強迫観念を、90代になってもなお芸術に昇華し続ける姿は、「創造に年齢の限界はない」ことを証明しています。精神科病院に自ら入院しながら制作を続ける彼女の生き方は、困難と共存しながら自分の道を貫く強さを示し、人生100年時代を生きる私たちに、情熱を持ち続けることの大切さを教えてくれます。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S+,,,2025-12-19 09:02:39,,,,,,7.0,82.14285714285714,,,7.0,,超高齢期の奇跡,8.5,7.5,8.0,8.5,8.0,8.5,8.5
,P5D3244A,五木寛之,,93,文学,341,あなたと同じ93歳のとき、五木寛之は現役作家として執筆活動を続けながら、人生100年時代を生きる知恵を発信し続けていました。1932年生まれの五木は、戦前・戦中・戦後という激動の時代を生き抜き、その経験を若い世代に伝える貴重な語り部となっています。90歳を超えてもなお、老いや死と向き合いながら前向きに生きる姿勢を『孤独のすすめ』などの著作で示し、超高齢社会における生き方のモデルを提示しています。朝鮮半島での幼少期、引き揚げ体験、高度経済成長からバブル崩壊まで、まさに昭和・平成・令和を貫く歴史の生き証人として、その言葉は重みを増しています。「人生は下山が大切」という哲学のもと、晩年こそ豊かに生きる道を探求する姿勢は、長寿時代を迎えた日本社会への貴重なメッセージとなっています。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S,,,2025-12-19 09:03:06,,,,,,7.0,87.14285714285714,,,7.0,,超高齢期の奇跡,9.0,8.0,8.5,9.0,8.5,9.0,9.0
,PF9FB70E,佐原健二,,92,映画・演劇,292,あなたと同じ92歳のとき、佐原健二は映画界の生きる伝説として、後進の俳優たちに演技指導を続けていました。東映時代劇の黄金期を支えた名脇役として、60年以上にわたる俳優人生で培った技術と精神を、若い世代に惜しみなく伝えました。特に殺陣や時代劇特有の所作については、実際に大部屋俳優から叩き上げで学んだ経験を基に、「型だけでなく、その時代の人々の心を理解することが大切」と説きました。戦前から平成までの映画界の変遷を肌で感じてきた証人として、デジタル時代においても変わらない演技の本質を語り続け、90代を超えてなお芸道に生きる姿は、人生100年時代における情熱と使命感の象徴となりました。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,A,,,2025-12-19 09:03:15,,,,,,7.0,82.14285714285714,,,7.0,,超高齢期の奇跡,8.5,7.5,8.0,8.5,8.0,8.5,8.5
,PA268F9B,ノーマン・リア,,94,エンターテイメント,301,あなたと同じ94歳のとき、ノーマン・リアは現役のテレビプロデューサーとして活動を続けていました。2017年、Netflixで『ワン・デイ・アット・ア・タイム』のリメイク版を製作総指揮し、半世紀前に自身が切り開いた社会派コメディの伝統を新世代に継承しました。1970年代に『オール・イン・ザ・ファミリー』で人種差別や貧困といった社会問題を笑いとともに描いた彼は、90代になってもラティーノ家族を主人公に据え、現代的な多様性のテーマに挑戦し続けました。「笑いは人々を結びつける最良の方法だ」という信念を貫き、エンターテイメント界における長寿と創造性の象徴として、人生100年時代の可能性を体現していました。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S,,,2025-12-19 09:03:40,,,,,,7.0,87.14285714285714,,,7.0,,超高齢期の奇跡,9.0,8.0,8.5,9.0,8.5,9.0,9.0
,P0AD7A42,トニー・ベネット,,97,音楽,280,あなたと同じ97歳のとき、トニー・ベネットは人生最後のステージに立ち、音楽への情熱を体現していました。アルツハイマー病と診断されながらも、長年のパートナーであるレディー・ガガと共演し、歌声は衰えることなく観客を魅了しました。70年以上のキャリアで培った音楽への深い理解と、身体に染み込んだ歌唱技術は、記憶が薄れても失われることはありませんでした。「音楽は魂の言語」という彼の言葉通り、ステージ上では病を忘れ、純粋に歌う喜びを表現し続けました。90代でも現役を貫いた姿は、人生100年時代における芸術家の可能性と、音楽が持つ癒しの力を世界に示す奇跡となりました。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S+,,,2025-12-19 09:04:12,,,,,,7.0,82.14285714285714,,,7.0,,超高齢期の奇跡,8.5,7.5,8.0,8.5,8.0,8.5,8.5
,PCFD211E,ディック・ヴァン・ダイク,,91,エンターテイメント,310,あなたと同じ91歳のとき、ディック・ヴァン・ダイクは驚異的な現役俳優として活躍を続けていました。2016年、彼は『メリー・ポピンズ リターンズ』への出演交渉を受け、オリジナル作品から54年を経て再び同じ世界に戻ることを決意します。この年齢でもダンスのステップを踏み、撮影現場では若いスタッフたちを驚かせました。彼は「動き続けることが長寿の秘訣」と語り、毎日の運動と前向きな姿勢を貫いています。90代でもなお映画出演を果たす姿は、人生100年時代における最高のロールモデルとなり、年齢は単なる数字に過ぎないことを世界中の人々に示し続けています。ハリウッド黄金期を知る生き証人として、その存在自体が映画史の宝となっています。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S,,,2025-12-19 09:04:21,,,,,,7.0,87.14285714285714,,,7.0,,超高齢期の奇跡,9.0,8.0,8.5,9.0,8.5,9.0,9.0
,P7316939,デヴィッド・アッテンボロー,,98,学術・研究,274,あなたと同じ98歳のとき、デヴィッド・アッテンボローは、70年以上にわたる自然ドキュメンタリー制作の集大成として、気候変動と生物多様性の危機を訴え続けていました。2024年、彼は最新のテクノロジーを駆使した映像制作にも関わり、若い世代の環境活動家たちとの対話を重ねながら、地球の未来について発信を続けています。1926年生まれの彼は、まさに20世紀から21世紀にかけての地球環境の変化を目撃してきた生き証人です。90代を超えてなお、「自然界の変化を伝えることが私の使命」と語り、人生100年時代における知的好奇心と社会貢献の模範を示し続けています。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S+,,,2025-12-19 09:04:36,,,,,,7.0,82.14285714285714,,,7.0,,超高齢期の奇跡,8.5,7.5,8.0,8.5,8.0,8.5,8.5
,PD08590B,ミハイル・ゴルバチョフ,,91,政治・社会,306,あなたと同じ91歳のとき、ミハイル・ゴルバチョフは冷戦終結から30年以上が経過した2022年を迎えていました。ソ連最後の指導者として、ペレストロイカとグラスノスチで世界を変革した彼は、90代になってもなお歴史の生き証人として貴重な存在でした。東西冷戦を終わらせ、核軍縮を推進した功績により1990年にノーベル平和賞を受賞した彼の人生は、激動の20世紀を体現するものでした。高齢となっても、民主主義や平和の重要性について語り続け、長年にわたる政治経験と歴史的洞察は、新しい世代にとって計り知れない教訓となっていました。人生100年時代において、世界史を動かした指導者が長寿を全うする姿は、まさに歴史そのものでした。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S+,,,2025-12-19 09:05:57,,,,,,7.0,87.14285714285714,,,7.0,,超高齢期の奇跡,9.0,8.0,8.5,9.0,8.5,9.0,9.0
,PCFA4BEC,日野原重明,,96,医学・健康,289,あなたと同じ96歳のとき、日野原重明は全国を飛び回り年間150回以上の講演をこなしていました。聖路加国際病院の理事長として現役で診療を続けながら、小学校での「いのちの授業」にも情熱を注ぎ、子どもたちに「いのちとは自分が使える時間のこと」と語りかけました。この年、10年先までスケジュール帳を埋め、「人生に定年はない」と自ら実践する姿は、まさに人生100年時代のロールモデルとなりました。毎日の腹八分目の食事、階段の利用、創造的な仕事への挑戦という生活習慣を貫き、90代でなお新しいプロジェクトを立ち上げる姿勢は、高齢者医療の専門家として自らの体で長寿の知恵を証明し続けたのです。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S+,,,2025-12-19 09:06:15,,,,,,7.0,82.14285714285714,,,7.0,,超高齢期の奇跡,8.5,7.5,8.0,8.5,8.0,8.5,8.5
,P7B1ACC7,ヘンリー・キッシンジャー,,91,政治・社会,298,あなたと同じ91歳のとき、ヘンリー・キッシンジャーは依然として国際政治の最前線で活躍していました。2014年、彼は中国を訪問し、習近平国家主席と会談。ニクソン政権時代に自ら築いた米中関係の礎から40年以上を経て、なお両国の架け橋として重要な役割を果たしました。この年、彼は精力的に執筆活動も続け、世界秩序に関する著作を発表。冷戦からテロの時代まで、激動の20世紀を最前線で見てきた「生きる歴史書」として、90代でも明晰な分析力と記憶力を保ち続けました。彼の姿は、知的活動に年齢の限界はないことを示す象徴となり、人生100年時代における高齢者の可能性を体現する存在として世界中から注目を集めました。,ACHIEVEMENT,,,False,REAL,,60歳以上,LLM_GENERATED,S+,,,2025-12-19 09:06:25,,,,,,7.0,82.14285714285714,,,7.0,,超高齢期の奇跡,8.5,7.5,8.0,8.5,8.0,8.5,8.5
