person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
PC2D54CA,HIKAKIN,,34,エンターテインメント,279,あなたと同じ34歳のとき、HIKAKINは日本を代表するトップYouTuberとして、チャンネル登録者数1000万人を突破する偉業を達成しました。2023年、彼は単なるエンターテイナーにとどまらず、社会貢献活動にも力を注ぎ、能登半島地震の際には1億円の寄付を行い大きな話題となりました。スーパーの店員から始まり、ボイスパーカッションという特技を武器に独学で動画制作を学び、毎日投稿を10年以上継続してきた努力の人です。「好きなことで生きていく」を体現しながらも、視聴者への感謝を忘れず、子どもたちに夢を与え続ける姿勢は、多くの人々に勇気と希望を与えています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:15:16,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテインメント
P2C58976,はじめしゃちょー,,47,エンターテインメント,365,"はじめしゃちょーは1993年生まれのため、2024年現在まだ30代前半です。47歳時点のエピソードは実在しないため、事実に基づいた内容を生成することができません。

代わりに、彼の実際のキャリアにおける印象的なエピソードをご提案できます：

**25歳の時のエピソード例：**
「あなたと同じ25歳のとき、はじめしゃちょーはYouTubeチャンネル登録者数800万人を突破し、日本のトップYouTuberとしての地位を確立していました。この年、彼は動画投稿を一時休止する決断をし、自身の健康とメンタルヘルスの重要性を視聴者に訴えました。この誠実な姿勢は多くの若者に『無理をせず、自分を大切にすることの大切さ』を伝える教訓となりました。」

実在する年齢でのエピソード生成をご希望の場合は、年齢設定を変更していただけますでしょうか。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:15:25,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,エンターテインメント
P70A3C8B,東海オンエア てつや,,66,エンターテインメント,296,"申し訳ございませんが、東海オンエア てつやさんは1993年生まれで、現在30代前半です。そのため、66歳時点のエピソードは実在しておらず、事実に基づいた内容を生成することができません。

ご要件には「事実に基づいた内容にする（架空の内容は避ける）」とありますので、まだ起きていない未来の出来事について架空のエピソードを作成することは適切ではないと判断いたしました。

もし以下のような代替案でよろしければ対応可能です：
- 実際の年齢での印象的なエピソード
- 別の人物での66歳時のエピソード
- 架空の内容でも良い場合は、その旨をお知らせください

ご理解のほどよろしくお願いいたします。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:15:33,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテインメント
PC4A4D22,水溜りボンド カンタ,,43,エンターテインメント,309,"申し訳ございませんが、水溜りボンドのカンタさんは現在43歳に達していないため、43歳時点での実際のエピソードを事実に基づいて生成することができません。

水溜りボンドは2010年代から活動を開始した人気YouTuberデュオで、カンタさんは1990年代生まれと推定されるため、2024年現在ではまだ30代前半です。

事実に基づいた内容という要件を満たすためには、以下のいずれかをお勧めします：
1. 現在の実年齢に合わせたエピソードの生成
2. 別の人物での43歳時点のエピソード生成
3. 将来の予測ではなく、過去の実際の出来事に基づいた内容

ご要望を調整いただければ、適切なエピソードを生成させていただきます。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:15:40,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,エンターテインメント
P215298E,Fischer's シルクロード,,61,エンターテインメント,204,"Fischer's シルクロードさんは1994年生まれのYouTuberですので、2024年現在30歳です。61歳という年齢設定は現実と大きく異なるため、事実に基づいたエピソードを生成することができません。

もし別の年齢設定（例：30歳前後）でのエピソード生成をご希望でしたら、お知らせください。あるいは、61歳時点のエピソードが必要な別の人物についてでしたら、その方の情報をご提供いただければと思います。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:15:46,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテインメント
P916A62A,ヒカル,,23,エンターテインメント,267,あなたと同じ23歳のとき、ヒカルはYouTuberとして大きな転機を迎えていました。2016年、情報商材ビジネスから完全に撤退し、YouTubeでの活動に専念することを決意。この年、彼は「祭りくじの闇」を暴露する動画を投稿し、大きな反響を呼びました。数百万円を投じて祭りのくじを大量購入し、その不透明な仕組みを検証する姿勢は、エンターテインメントと社会問題提起を融合させた新しいスタイルとして注目されました。過去のビジネスでの経験を活かしながら、若くして自らの進むべき道を見定め、YouTuberとしての地位を確立していった時期です。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:15:53,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテインメント
P2E0F2FF,ラファエル,,35,エンターテインメント,280,"ラファエルというエンターテインメント分野の人物で、35歳時点での確実な史実的エピソードを特定することが困難です。

エンターテインメント業界には複数の「ラファエル」という名前の著名人が存在しますが、特定の人物を断定できない状況で事実に基づいたエピソードを生成することはできません。

正確なエピソードを作成するために、以下の追加情報をいただけますでしょうか：

- フルネーム
- 活動分野（YouTuber、俳優、音楽家など）
- 国籍または活動地域
- 生年または活動時期

これらの情報があれば、事実に基づいた印象的なエピソードを生成することができます。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:16:00,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテインメント
PF547A8C,コムドット やまと,,29,エンターテインメント,411,"コムドット やまとさんについて、29歳時点でのエピソードを生成いたしますが、重要な注意点がございます。

コムドット やまとさんは1998年生まれのため、2024年現在26歳前後であり、まだ29歳に達していません。そのため、29歳時点での実際のエピソードは存在しません。

現時点で確認できる事実に基づいたエピソードであれば生成可能です。例えば：

**24-25歳頃（2022-2023年）のエピソード案：**

「あなたと同じ年齢層のとき、コムドット やまとは登録者400万人を超える人気YouTuberとして、地元・西東京市の魅力を発信し続けていました。『地元ノリを全国へ』というコンセプトのもと、仲間との絆を大切にしながらコンテンツを制作。若者のロールモデルとして、夢を追いかける姿勢と仲間を大切にする価値観を発信し、多くの若者に影響を与えました。」

より正確な情報提供のため、対象年齢の修正をお勧めいたします。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:16:10,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,エンターテインメント
PD86992C,平成フラミンゴ NICO,,51,エンターテインメント,320,"申し訳ございませんが、平成フラミンゴのNICOさんは現在まだ51歳に達していないため、51歳時点での実際のエピソードを事実に基づいて記述することができません。

平成フラミンゴは2010年代後半から活動を始めた比較的若いYouTuberコンビであり、NICOさんは2024年現在、まだ30代前半と推定されます。そのため、51歳時点の出来事は未来のこととなり、架空の内容となってしまいます。

事実に基づいた印象的なエピソードを作成するには、以下のいずれかをお勧めします：
1. 現在の年齢に近い時期のエピソード
2. 実際に51歳を迎えている他の人物を選択
3. NICOさんの実際の活動期間内でのエピソード

ご理解いただければ幸いです。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:16:18,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,エンターテインメント
PAC69109,QuizKnock 伊沢拓司,,24,学術・文化,284,あなたと同じ24歳のとき、伊沢拓司はQuizKnockを本格的なメディアへと成長させていました。2018年、東京大学大学院を中退し、クイズを通じた教育事業に専念する決断をした彼は、YouTubeチャンネルの運営に力を入れ始めます。「楽しいから始まる学び」をコンセプトに、クイズや知識を分かりやすく面白く伝える動画を次々と発信。この年、チャンネル登録者数は急速に伸び、若者を中心に「勉強って楽しい」という価値観を広めることに成功しました。安定したアカデミックキャリアを捨て、新しい教育の形を追求した彼の挑戦は、多くの若者に「好きなことで社会に貢献する」勇気を与えました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 01:16:26,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,学術・文化
