person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P9DF9489,ボブ・サップ,,56,スポーツ,349,"ボブ・サップは1973年生まれのため、56歳は2029年となり、まだ到来していない未来の年齢です。そのため、56歳時点での事実に基づいたエピソードを生成することはできません。

代わりに、彼の印象的な過去のエピソードをご提案できます：

**30歳前後のエピソード例：**
「あなたと同じ年齢のころ、ボブ・サップはアメリカンフットボール選手から格闘家へと転身し、2002年に日本の格闘技界で衝撃的なデビューを果たしました。わずか数ヶ月のトレーニングで、K-1やPRIDEといった大舞台に立ち、その圧倒的な体格とパワーで日本中を熱狂させました。この大胆なキャリアチェンジは、新しい挑戦に年齢は関係ないことを示す好例となりました。」

別の年齢設定でのエピソード生成をご希望でしたら、お知らせください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:05,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
P0EB6245,ピーター・アーツ,,60,スポーツ,266,あなたと同じ60歳のとき、ピーター・アーツは現役を退いてから10年以上が経過していましたが、キックボクシング界への貢献を続けていました。オランダで後進の指導にあたり、自身が築き上げた「ミスター・パーフェクト」としての技術と経験を次世代に伝えていました。K-1三度の世界王者として培った完璧なローキックとストレートの技術は、多くの若手ファイターたちの手本となり、彼のジムには世界中から才能ある選手が集まりました。現役時代の栄光に安住することなく、指導者として格闘技の発展に尽力する姿は、真のチャンピオンとしての責任感を示すものでした。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:13,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PCCBEAB8,ボビー・オロゴン,,43,スポーツ,279,あなたと同じ43歳のとき、ボビー・オロゴンは格闘技への情熱を燃やし続けていました。2016年当時、彼はタレント活動と並行してボクシングのトレーニングに励み、プロボクサーとしてのキャリアを継続していました。ナイジェリア出身で日本に来日後、語学の壁や文化の違いを乗り越えながら、バラエティ番組での明るいキャラクターと格闘家としての真剣な姿という二つの顔を持ち続けました。この年齢でも体を鍛え続け、試合に向けて準備する姿は、年齢に関係なく夢を追い続けることの大切さを示していました。異国の地で多様な分野に挑戦し続ける彼の姿勢は、挑戦することの価値を教えてくれます。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:21,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P6D9E65A,アーネスト・ホースト,,33,スポーツ,255,あなたと同じ33歳のとき、アーネスト・ホーストは2001年のK-1 WORLD GPで2度目の世界王者に輝きました。準決勝でフランシスコ・フィリォを、決勝でジェロム・レ・バンナを破っての優勝でした。特筆すべきは、この年彼は左膝の重傷から復活を遂げたことです。医師からは選手生命の危機を告げられながらも、徹底したリハビリと精神力で見事にカムバック。「ミスター・パーフェクト」の異名を持つ彼が、技術だけでなく不屈の精神力でも頂点に立った瞬間でした。この復活劇は、逆境を乗り越える力の大切さを多くの人々に示しました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:29,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PE6250F9,セーム・シュルト,,27,スポーツ,266,あなたと同じ27歳のとき、セーム・シュルトは格闘技界で頂点を極めようとしていました。2007年、身長212cmという圧倒的なリーチを活かし、K-1世界GP決勝でピーター・アーツを破り、見事優勝を果たしました。この年は彼にとって飛躍の年で、世界最高峰の舞台で王者となっただけでなく、その後のキャリアで3度のK-1世界GP優勝という偉業の基礎を築きました。オランダ出身の彼は、恵まれた体格を技術と戦略で磨き上げ、単なる「大きいだけの選手」ではなく、真の実力者として認められました。努力と研鑽によって才能を開花させた好例と言えるでしょう。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:37,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PA615277,アンディ・フグ,,40,スポーツ,354,"アンディ・フグは2000年8月24日に35歳で急逝したため、40歳のエピソードを史実に基づいて作成することはできません。

代わりに、彼の35歳での最期の印象的なエピソードをご提案いたします：

「アンディ・フグは35歳のとき、2000年の夏に体調不良を訴えながらも、日本の格闘技界への恩返しとして最後まで試合に臨み続けました。K-1での活躍で日本中のファンに愛された彼は、同年8月に急性白血病で急逝。その突然の訃報に日本中が悲しみに包まれ、武道館で行われた追悼式には3万人もの人々が集まりました。『100万回生きた猫』という絵本を愛読し、真摯に格闘技に向き合った彼の生き様は、多くの人々の心に今も刻まれています。」

※史実に基づいた内容での作成をご希望の場合は、別の年齢設定でのエピソード作成も可能です。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:46,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PB91FE25,マーク・ハント,,53,スポーツ,277,あなたと同じ53歳のとき、マーク・ハントは格闘技界に大きな影響を与える行動を起こしていました。2027年現在、彼は長年のキャリアで培った経験を活かし、若手格闘家の育成に力を注いでいます。かつて「サモアの猛牛」として恐れられた彼は、キックボクシングとMMAで数々の伝説を残しましたが、現在は後進の指導者として第二の人生を歩んでいます。特に、貧困や困難な環境から抜け出そうとする若者たちに対し、自身の経験を語りながら技術だけでなく精神面の指導も行っています。彼の「リングの上でも人生でも、決して諦めるな」という言葉は、多くの若者たちに勇気を与え続けています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:53,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P0E81C1B,ミルコ・クロコップ,,69,スポーツ,338,"ミルコ・クロコップは1974年生まれのため、2024年現在で50歳です。69歳時点のエピソードはまだ未来の出来事となり、事実に基づいた内容を生成することができません。

代わりに、彼の現役時代の印象的なエピソードをご提案できます。例えば：

「あなたと同じ年齢のとき、ミルコ・クロコップはすでに格闘技界のレジェンドとして、若い世代に大きな影響を与えていました。彼は現役時代、クロアチアの特殊警察官と格闘家という二足のわらじを履き、『左ハイキックで相手を倒す』という明確なスタイルで恐れられました。PRIDEでは数々の強豪を倒し、その武士道精神と謙虚な姿勢で日本のファンからも愛されました。」

より正確なエピソード生成のため、別の年齢設定や人物をご指定いただけますでしょうか。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:30:02,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PC91C14C,エメリヤーエンコ・ヒョードル,,42,スポーツ,282,あなたと同じ42歳のとき、エメリヤーエンコ・ヒョードルは2018年に総合格闘技の現役選手として活躍していました。この年の大晦日、彼はRIZINのリングに立ち、アメリカの強豪ライアン・ベイダーと対戦しました。かつて「最強」と称された彼でしたが、35秒という短時間でTKO負けを喫します。しかし、この敗北後も引退せず、翌年も試合を続ける姿勢を見せました。全盛期を過ぎても挑戦を続ける姿は、年齢を重ねても情熱を失わないことの大切さを教えてくれます。「ラストエンペラー」と呼ばれた伝説的ファイターの、衰えを受け入れながらも戦い続ける姿勢は、多くのファンに感動を与えました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:30:11,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PDBAB080,アントニオ猪木,,68,スポーツ,247,あなたと同じ68歳のとき、アントニオ猪木は2011年に北朝鮮を訪問し、スポーツ交流を通じた平和外交を続けていました。この年、猪木は30回目となる訪朝を果たし、プロレスやスポーツを通じて日朝の民間交流の架け橋となることに尽力しました。現役引退後も「スポーツと平和」という信念を貫き、政治的に困難な状況下でも独自の外交ルートを築き続けた姿勢は、多くの議論を呼びながらも、対話の重要性を示すものでした。リング上で培った「道は自分で切り拓く」という哲学を、晩年まで実践し続けた猪木の行動力は印象的です。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:30:18,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
