person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
PDED08BE,キャロル・バーネット,,91,エンターテイメント,258,あなたと同じ91歳のとき、キャロル・バーネットは、自身の名を冠した伝説的番組「キャロル・バーネット・ショー」の放送開始から55年以上が経過した2024年も、なお現役で活躍し続けました。この年、彼女は新作ドラマへの出演を続け、コメディ界への貢献が改めて称賛されました。70年以上にわたるキャリアを通じて、テレビ黄金期を築いた彼女は、若い世代のコメディアンたちにも影響を与え続けています。90歳を超えてもユーモアと情熱を失わず、インタビューでは「笑いは人生最高の贈り物」と語り、エンターテイメントへの愛を示し続けました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:08:55,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテイメント
P5691A41,ジェームズ・ラブロック,,91,科学・技術,303,あなたと同じ91歳のとき、ジェームズ・ラブロックは自身が提唱した「ガイア理論」への批判に対して、科学者としての謙虚さを示しました。2010年、彼は地球温暖化の影響について過去に予測した内容が「やや誇張していた」と認め、科学的予測の不確実性について率直に語りました。この姿勢は、高齢になっても自説に固執せず、新しいデータに基づいて考えを修正する真の科学者の態度を体現するものでした。同時に彼は原子力エネルギーを気候変動対策として支持する立場を明確にし、環境保護運動の中で物議を醸しながらも、独立した思考を貫き続けました。90代になっても知的好奇心を失わず、議論を恐れない姿勢は多くの科学者に影響を与えました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:04,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,科学・技術
PF51A6EA,シドニー・ポワチエ,,92,映画・演劇,254,あなたと同じ92歳のとき、シドニー・ポワチエは、黒人俳優として初めてアカデミー主演男優賞を受賞してから56年が経過していました。2019年、彼はハリウッドの自宅で静かな日々を過ごしながらも、自身の回顧録の執筆に取り組んでいました。この時期、彼は若い世代の黒人俳優たちから「道を切り開いた先駆者」として尊敬を集め、多くの映画人が彼の功績を称えました。バハマ出身の貧しい少年が、人種差別の壁を乗り越えてハリウッドのトップスターとなった彼の人生は、92歳になってもなお、多くの人々に勇気と希望を与え続けていました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:11,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,映画・演劇
PA268F9B,ノーマン・リア,,92,エンターテイメント,298,あなたと同じ92歳のとき、ノーマン・リアは現役のテレビプロデューサーとして活躍を続けていました。2015年、彼は自身が1970年代に手がけた伝説的なシットコム『ワン・デイ・アット・ア・タイム』のリメイク版の製作総指揮を務めることを発表しました。この作品では、オリジナル版の白人家族をラテン系移民家族に変更し、現代社会の多様性を反映させました。半世紀近くにわたりテレビ界で社会問題を扱い続けてきた彼は、90代になっても「物語を通じて社会を変える」という信念を貫き、新しい世代に向けて発信し続ける姿勢を示したのです。年齢を重ねても創造性と社会への情熱を失わない彼の姿は、多くの人々に勇気を与えました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:19,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテイメント
P0AD7A42,トニー・ベネット,,93,音楽,258,あなたと同じ93歳のとき、トニー・ベネットは2019年に人生6度目となるグラミー賞を受賞し、史上最高齢の受賞者として音楽史に名を刻みました。この年、彼はダイアナ・クラールとのデュエット・アルバム『Love Is Here to Stay』で伝統的ポップ・ボーカル・アルバム賞を獲得。すでにアルツハイマー病と診断されていましたが、音楽への情熱は衰えることなく、ステージに立ち続けました。「歌うことが私を生かしている」と語った彼の姿は、年齢や困難を超えて自分の愛する道を歩み続けることの大切さを世界中の人々に示しました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:26,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
PAA24C29,ベティ・ホワイト,,93,エンターテイメント,257,あなたと同じ93歳のとき、ベティ・ホワイトは映画『ホット・イン・クリーブランド』のテレビシリーズで主演を続け、エンターテイメント界で現役として活躍していました。2015年、彼女は「最も長いテレビキャリアを持つ女性エンターテイナー」としてギネス世界記録に認定されました。その経歴は80年以上に及び、90歳を超えてもユーモアと情熱を失わず、若い世代からも絶大な支持を得ていました。「年齢は単なる数字」という彼女の前向きな姿勢は、多くの人々に勇気を与え、生涯現役で挑戦し続けることの素晴らしさを体現した存在となりました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:34,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,エンターテイメント
PC8DA14E,ジョージ・ソロス,,94,ビジネス,298,あなたと同じ94歳のとき、ジョージ・ソロスは2024年も投資家として現役を続けながら、民主主義と開かれた社会の擁護に情熱を注いでいました。ハンガリー出身のユダヤ人としてナチスの迫害を生き延びた経験を持つ彼は、90歳を超えてもなお「オープン・ソサエティ財団」を通じて世界中の人権活動や教育支援に数百億ドルを投じ続けています。かつて「イングランド銀行を潰した男」として知られた伝説の投資家は、高齢になっても明晰な頭脳を保ち、息子に事業を引き継ぎながらも、自らの哲学である「開かれた社会」の実現に向けて助言を続けました。その生涯は、成功と社会貢献の両立を体現する姿として多くの人々に影響を与えています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:42,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,ビジネス
P7B1ACC7,ヘンリー・キッシンジャー,,94,政治・社会,262,あなたと同じ94歳のとき、ヘンリー・キッシンジャーは依然として国際政治の第一線で活躍していました。2017年、彼はトランプ新政権の外交顧問として何度もホワイトハウスを訪れ、中国の習近平国家主席との会談も実現させました。特に印象的だったのは、50年近く前に自らが築いた米中関係の基盤について、現代の文脈で助言を続けたことです。この年、彼は『世界秩序』に関する著作活動も継続し、AIと国際秩序についての論考を発表。90歳を超えてなお、鋭い分析力と歴史的洞察力を失わず、世界のリーダーたちから意見を求められる存在であり続けました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:49,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,政治・社会
P7316939,デヴィッド・アッテンボロー,,95,学術・研究,272,あなたと同じ95歳のとき、デヴィッド・アッテンボローは気候変動と生物多様性の危機を訴え続け、国連気候変動会議COP26で各国首脳に向けて演説を行いました。「私たちは歴史上最も重要な時期にいる」と力強く語り、70年にわたる自然番組制作で目撃してきた地球環境の変化を証言しました。また同年、BBCの自然ドキュメンタリー「The Maidenhall Experience」の制作にも関わり、現役のナチュラリストとして精力的に活動を続けました。95歳という高齢でありながら、地球の未来のために声を上げ続ける姿は、世界中の人々に深い感銘を与えています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:09:56,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,学術・研究
P2FC4699,草間彌生,,95,芸術・文化,285,あなたと同じ95歳のとき、草間彌生は創作への情熱を一切衰えさせることなく、精力的に作品を生み出し続けていました。2024年も東京の自宅兼アトリエで毎日制作に取り組み、大規模な個展を世界各地で開催。車椅子生活となっても、鮮やかな水玉模様やカボチャのモチーフを描き続け、「芸術は私の生きる理由そのもの」と語りました。10代の頃から幻覚や強迫観念に悩まされながらも、それを芸術に昇華させてきた彼女の姿勢は、年齢や困難を超えて自分の使命を全うすることの尊さを示しています。世界で最も影響力のある現代美術家として、生涯現役を貫く彼女の生き方は、多くの人々に勇気を与え続けています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 13:10:04,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術・文化
