person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P0898C9B,葛飾北斎,,47,歴史,287,あなたと同じ47歳のとき、葛飾北斎は「北斎」の号を名乗り始め、読本の挿絵画家として名声を確立していました。この年は1807年（文化4年）頃で、曲亭馬琴との協力関係が深まり、『椿説弓張月』などの人気作品の挿絵を手がけていました。しかし、芸術家としての完成にはまだ遠いと感じていた北斎は、後に「70歳以前の作品は取るに足らない」と語っています。この時期、彼は既に30回以上も転居を繰り返す奇行で知られ、常に新しい表現を追求する姿勢を貫いていました。世界的名作『冨嶽三十六景』の制作はまだ20年以上先のことで、47歳の北斎は、まさに大輪の花を咲かせる前の研鑽の時期にあったのです。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:23:36,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
P06FCF1D,歌川広重,,24,歴史,246,あなたと同じ24歳のとき、歌川広重は江戸の火消同心という武士の職務に就きながら、浮世絵師としての道を歩み始めていました。1821年、彼は歌川豊広に入門し、本格的に絵の修行を開始します。昼は火消同心として江戸の町を見回り、夜は絵筆を握る二足のわらじの生活でした。この時期、江戸の町を隅々まで歩き回った経験が、後の「東海道五十三次」などの風景画に活かされることになります。武士の身分を持ちながらも芸術への情熱を捨てきれず、厳しい修行に励んだ広重の姿は、夢を追い続けることの大切さを教えてくれます。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:23:44,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
PC302AD8,伊能忠敬,,50,歴史,292,あなたと同じ50歳のとき、伊能忠敬は家督を長男に譲り、それまで営んできた商人としての人生に区切りをつけました。そして江戸へ出て、当時最先端の天文学や暦学を学ぶため、19歳も年下の幕府天文方・高橋至時に弟子入りしたのです。商家の主人として成功を収めた後、人生の後半戦で全く新しい学問の道へ踏み出すという決断は、周囲を驚かせました。しかし忠敬は「まだ学びたいことがある」という情熱を抑えきれず、謙虚に学問に打ち込みました。この50歳からの挑戦が、後の日本全国を測量する壮大な事業へとつながっていくのです。人生に「遅すぎる」ことはないという、彼の生き方は今も多くの人々に勇気を与えています。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:23:53,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
PDDFFE60,杉田玄白,,30,歴史,286,あなたと同じ30歳のとき、杉田玄白は小浜藩医として日々の診療に励む傍ら、西洋医学への関心を深めていました。1763年、オランダ語の医学書と格闘しながら、従来の漢方医学だけでは救えない患者の存在に心を痛めていた玄白は、より正確な人体の知識の必要性を痛感していました。この時期の探究心が、わずか8年後の『解体新書』翻訳という偉業へとつながります。限られた資料と辞書もない中で、未知の学問に挑もうとする彼の姿勢は、真理を追求する医師としての使命感の表れでした。既存の知識に満足せず、患者のためにより良い医療を求め続けた玄白の情熱は、日本の近代医学の扉を開く原動力となったのです。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:02,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
P7F345D0,平賀源内,,28,歴史,280,あなたと同じ28歳のとき、平賀源内は讃岐高松藩の藩士の身分を捨て、長崎へ遊学する決断をしました。1756年、彼は本草学（薬学）を学ぶため、オランダ医学や西洋の知識を吸収できる長崎へと向かいました。この時期、源内は単なる薬草の知識だけでなく、西洋の科学技術、鉱山学、さらには蘭学の基礎を貪欲に学びました。藩士という安定した地位を手放してまで学問を追求したこの選択は、後に彼が「エレキテル」の復元や、鉱山開発、戯作者としての活躍など、江戸時代屈指のマルチな才能を開花させる転機となりました。好奇心に従い、既存の枠を超えて挑戦する姿勢が、彼の人生を決定づけたのです。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:12,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
PC246BEB,本居宣長,,31,歴史,258,あなたと同じ31歳のとき、本居宣長は医師として生計を立てながら、『古事記』の研究に没頭していました。1760年、彼は松阪の自宅で「鈴屋（すずのや）」と名付けた私塾を開き、本格的に国学の講義を始めます。昼は医業で患者を診察し、夜は古典の研究と門人への指導に励むという二足のわらじの生活でしたが、この年齢で自らの学問的使命を確信し、生涯をかけて取り組む『古事記伝』の構想を固めていきました。医師という安定した職業を持ちながらも、日本古来の精神を解き明かすという学問的情熱を貫いた姿勢は、真の学問への献身を示すものでした。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:20,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
P5D3C50B,松尾芭蕉,,24,歴史,297,あなたと同じ24歳のとき、松尾芭蕉は伊賀上野の藤堂藩で藩主の嗣子・良忠に仕える武士でした。この頃、芭蕉は「宗房」という本名で、良忠とともに俳諧に熱中していました。良忠は芭蕉より2歳年下でしたが、二人は主従の関係を超えて俳諧仲間として親しく交流し、京都の北村季吟という著名な俳諧師に師事して共に学んでいました。しかし、この穏やかな日々は長く続きませんでした。わずか1年後の25歳のときに良忠が急逝してしまうのです。この出来事は芭蕉の人生を大きく変え、やがて武士の身分を捨てて俳諧の道を本格的に歩む転機となりました。若き日の主君との俳諧を通じた深い絆が、後の俳聖・芭蕉を生み出す原点となったのです。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:30,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
P6C106C9,与謝蕪村,,36,歴史,282,あなたと同じ36歳のとき、与謝蕪村は江戸から京都へと居を移し、画業と俳諧の両立に本格的に取り組み始めました。この時期、蕪村は夜半亭二世を継承し、俳人としての地位を確立していきます。生活は決して楽ではありませんでしたが、絵を描いて生計を立てながら、俳句の革新を目指しました。特にこの頃から、絵画的な視覚イメージを俳句に取り入れる独自の作風を確立し始め、「菜の花や月は東に日は西に」のような視覚的で叙情的な句を詠むようになります。二つの芸術分野で才能を発揮しようとする蕪村の姿勢は、一つの道を極めることの大切さとともに、多様な才能を統合することの可能性も示しています。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:39,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
P72A9398,小林一茶,,21,歴史,230,あなたと同じ21歳のとき、小林一茶は江戸で俳諧の修行に励んでいました。15歳で故郷の信濃を離れ、江戸に奉公に出されてから6年、この頃ようやく二六庵竹阿のもとで俳諧を本格的に学び始めます。継母との不和で故郷に居場所がなかった一茶は、江戸での厳しい奉公生活を経験しながらも、俳諧に自らの生きる道を見出していきました。身分の低い奉公人という立場から、後に「やせ蛙まけるな一茶これにあり」などの弱者に寄り添う独自の句風を生み出す原点が、この苦難の青年期にあったのです。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:49,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
P8D3A73D,近松門左衛門,,24,歴史,234,あなたと同じ24歳のとき、近松門左衛門は京都で浄瑠璃作者としての道を歩み始めていました。1677年頃、彼は宇治加賀掾座に身を置き、人形浄瑠璃の台本執筆に励んでいました。武士の家に生まれながらも文芸の道を選んだ近松は、この時期に古典や仏教説話を題材とした作品を手がけ、後の「世話物」と呼ばれる庶民の生活を描く独自のスタイルの基礎を築きつつありました。身分制度が厳しい時代に、あえて芸能の世界に飛び込んだ彼の選択は、江戸時代の演劇文化に革命をもたらす第一歩となったのです。,ACHIEVEMENT,,,,EDO_SCHOLAR,,,,,,,2025-11-24 14:24:56,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,歴史
