person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P23FFCC7,浅田真央,,31,フィギュアスケート,292,あなたと同じ31歳のとき、浅田真央は現役引退から4年が経過し、新たな人生のステージで活躍していました。2020年、彼女はプロフィギュアスケーターとして全国各地でアイスショーに出演しながら、後進の育成にも力を注いでいました。現役時代に培った技術と表現力を、次世代のスケーターたちに伝える指導者としての一面も見せ始めた時期です。また、この年は新型コロナウイルスの影響でアイスショーの開催が困難な状況でしたが、オンラインでのファンとの交流など、新しい形でフィギュアスケートの魅力を発信し続けました。競技者からの転身を経て、スケート界全体への貢献という新たな使命を見出していた時期と言えます。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:57:33,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,フィギュアスケート
P985B0C1,荒川静香,,63,フィギュアスケート,339,"荒川静香さんは1981年生まれのため、2024年現在まだ63歳に達していません。そのため、63歳時点での実際のエピソードを生成することはできません。

代わりに、彼女の実際の印象的なエピソードをご紹介します：

**24歳のときの荒川静香**

あなたと同じ年齢ではありませんが、荒川静香が24歳のとき、2006年トリノオリンピックで日本フィギュアスケート史上初の金メダルを獲得しました。演技後半の代名詞となった「イナバウアー」は世界中を魅了し、日本中に感動を与えました。引退後はプロスケーターとして活躍し、後進の指導にも尽力。スポーツの素晴らしさを次世代に伝え続けています。

---

※63歳時点のエピソードが必要な場合は、その年齢に達した後に改めて情報をお調べください。",ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:57:41,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,フィギュアスケート
PF8BBBC4,安藤美姫,,54,フィギュアスケート,335,"安藤美姫さんは1987年生まれですので、54歳は2041年となり、まだ到来していない未来の年齢です。

そのため、54歳時点での事実に基づいたエピソードを生成することはできません。

代わりに、彼女の実際の印象的なエピソードをご紹介できます：

**20歳のとき（2007年）の例：**
「あなたと同じ20歳のとき、安藤美姫は世界フィギュアスケート選手権で日本女子初の2度目の世界王者に輝きました。前年の骨折から復帰し、4回転サルコウに挑戦し続ける姿勢を貫きながら、表現力豊かな演技で世界の頂点に立ちました。困難を乗り越えて再び栄冠を手にした彼女の姿は、諦めない心の大切さを多くの人々に伝えました。」

もし別の年齢や時期のエピソードをご希望でしたら、お知らせください。",ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:57:49,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,フィギュアスケート
P7B553A1,吉田沙保里,,24,レスリング,255,あなたと同じ24歳のとき、吉田沙保里は2007年の世界レスリング選手権で5連覇を達成し、女子レスリング界で前人未到の記録を打ち立てました。この大会では決勝で強豪選手を相手に圧倒的な強さを見せつけ、オリンピック2連覇に続く快挙となりました。試合後のインタビューで「まだまだ強くなれる」と語った彼女の向上心は、多くの人々に感動を与えました。父である栄勝コーチの指導のもと、毎日の厳しい練習に耐え抜いた結果が、この偉業につながったのです。若くして世界の頂点に立ち続けた彼女の姿は、努力と継続の大切さを教えてくれます。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:57:56,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,レスリング
P6672675,登坂絵莉,,68,レスリング,300,"登坂絵莉さんは1993年生まれのため、2024年現在まだ30代前半です。68歳時点のエピソードは存在しません。

代わりに、彼女の実際の印象的なエピソードをご紹介します：

「登坂絵莉は23歳のとき、2016年リオデジャネイロオリンピックのレスリング女子48kg級で金メダルを獲得しました。決勝では第1ピリオドを0-2で落とす苦しい展開でしたが、冷静さを保ち、第2ピリオドで逆転勝利を収めました。試合後、『最後まで諦めない気持ちが大切』と語り、その言葉通り粘り強い戦いぶりは多くの人々に感動を与えました。この勝利は、困難な状況でも決して諦めない姿勢の大切さを教えてくれる素晴らしい実例となりました。」",ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:58:04,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,レスリング
P375EB4A,土性沙羅,,40,レスリング,327,"土性沙羅選手は1994年生まれのため、2024年現在まだ30歳です。40歳時点のエピソードは未来の出来事となるため、事実に基づいた内容を生成することができません。

代わりに、彼女の実際の印象的なエピソードをご紹介します：

あなたと同じ22歳のとき、土性沙羅は2016年リオデジャネイロオリンピックのレスリング女子69kg級で金メダルを獲得しました。決勝では世界女王を破り、日本女子レスリング史上最重量級での金メダリストとなりました。試合後、「苦しい時期もあったが、支えてくれた人たちのために絶対に金メダルを取りたかった」と涙ながらに語った姿が印象的でした。至学館大学在学中のこの快挙は、努力と感謝の心が結実した瞬間として多くの人々に感動を与えました。",ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:58:12,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,レスリング
P98599F6,川井梨紗子,,57,レスリング,344,"申し訳ございませんが、川井梨紗子選手は1994年生まれのレスリング選手で、現在まだ30代前半です。そのため、57歳時点のエピソードは存在しません。

川井梨紗子選手の実際の経歴に基づいた印象的なエピソードであれば、以下のような内容が可能です：

**20代での実績例：**
「あなたと同じ20代のとき、川井梨紗子はオリンピック金メダリストとして世界の頂点に立っていました。2016年リオデジャネイロ五輪で63kg級金メダル、2021年東京五輪では57kg級で金メダルを獲得。姉の川井友香子選手も同じ東京五輪で金メダルを獲得し、姉妹同時金メダルという歴史的快挙を成し遂げました。」

実在の人物について正確な情報でエピソードを作成したい場合は、その方の実年齢に合わせた内容をご依頼ください。",ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:58:21,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,レスリング
P6AFA05A,山下泰裕,,48,柔道,254,あなたと同じ48歳のとき、山下泰裕は全日本柔道連盟の強化委員長として、2004年アテネオリンピックに向けた指導者の道を歩んでいました。現役時代に203連勝という金字塔を打ち立てた山下氏でしたが、指導者としての立場では思うような成果が出ず、苦悩の日々を送っていました。しかし、選手一人ひとりと真摯に向き合い、現役時代の経験を活かしながら技術指導だけでなく精神面のサポートにも力を注ぎました。この献身的な姿勢は、後に日本柔道界の復興へとつながる礎となり、指導者としての新たな道を切り拓く重要な時期となったのです。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:58:28,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,柔道
P492325B,井上康生,,52,柔道,343,"あなたと同じ52歳のとき、井上康生は全日本柔道男子監督として、2030年の国際舞台で指導者としての手腕を発揮していました。

※申し訳ございません。井上康生氏は1978年生まれで、2024年現在46歳です。52歳となる2030年の出来事は未来のことであり、確実な事実として記述することができません。

代わりに、彼の46歳時点（2024年）までの実績をお伝えしますと、2012年から全日本男子監督に就任し、2016年リオデジャネイロ五輪では男子全階級でメダル獲得、2021年東京五輪でも金メダル2個を含む5個のメダル獲得に導くなど、現役時代の金メダリストとしての経験を活かし、日本柔道の復興に尽力してきました。指導者として選手一人ひとりと向き合う姿勢は、多くの後進の模範となっています。",ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:58:38,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,柔道
PCCC27DA,塚原光男,,32,体操,243,あなたと同じ32歳のとき、塚原光男は1979年、現役引退を決意しました。1968年メキシコ五輪から3大会連続で五輪に出場し、金メダル5個を含む計8個のメダルを獲得した伝説的な体操選手でした。特に1972年ミュンヘン五輪では鉄棒で「月面宙返り」を成功させ、世界を驚かせました。32歳での引退後は指導者の道へ進み、後進の育成に尽力します。選手として頂点を極めた後も、日本体操界の発展に貢献し続けた彼の姿勢は、一つの分野を極めた人間が次世代へ技術と精神を継承することの大切さを教えてくれます。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:58:46,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,体操
