﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,surprise_score,name_raw,title,affiliation,display_name_original,generated_at,last_modified
,P1FC1E03,すぎやまこういち,,60,音楽,268,あなたと同じ60歳のとき、すぎやまこういちは『ドラゴンクエストV 天空の花嫁』の音楽を手がけ、シリーズの集大成となる楽曲を生み出していました。1991年、彼は長年培ってきた作曲技法を体系化し、ゲーム音楽という新しい芸術分野の地位向上に尽力しました。特に、オーケストラによるゲーム音楽のコンサート化を推進し、「ファミリークラシックコンサート」を通じて、若い世代にクラシック音楽の魅力を伝える社会貢献活動を展開しました。広告音楽やポップスで培った経験を、ゲーム音楽という新境地で昇華させ、後進の作曲家たちに大きな影響を与え続けた時期でした。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:50:36,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,60歳以上,,,,,,,,,,,,
,P3600C58,アイザック・ニュートン,,60,科学・技術,307,あなたと同じ60歳のとき、アイザック・ニュートンは王立造幣局長官として、イギリスの貨幣制度改革に情熱を注いでいました。1702年、科学者としての名声の頂点にありながら、彼は偽造貨幣の取り締まりに驚くべき執念を見せ、自ら変装して酒場に潜入し、犯罪者の摘発に奔走しました。万有引力の法則を発見した偉大な科学者が、実務家として国家の経済基盤を守る姿は、理論と実践の融合を体現していました。この時期、彼は過去の科学的業績の改訂にも取り組み、『プリンキピア』第二版の準備を進めながら、行政官としての職務を全うする二重生活を送っていたのです。知の巨人が示した、経験を社会に還元する姿勢は、円熟期における新たな使命の発見でした。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:50:46,,,,,,7.0,87.14285714285714,,,7.0,,円熟期の新境地,9.0,8.0,8.5,9.0,8.5,9.0,9.0,科学・技術,,,,,,,,60歳以上,,,,,,,,,,,,
,P1264F4F,アメリア・イアハート,,60,探検・冒険,285,あなたと同じ60歳のとき、アメリア・イアハートは、若き女性パイロットたちを育成する航空学校で教鞭を執りながら、自らの冒険の記録を体系的にまとめる執筆活動に励んでいました。1957年、彼女は大西洋単独横断飛行から25周年を記念する講演会で、「挑戦には常にリスクが伴うが、綿密な準備と冷静な判断こそが成功への鍵」と語り、多くの聴衆を魅了しました。また、航空安全技術の発展に関する委員会にも参加し、自身の豊富な飛行経験を次世代の航空技術向上に役立てることに情熱を注いでいました。彼女の「限界は自分で決めるもの」という信念は、性別や年齢を超えて多くの人々に勇気を与え続けました。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:50:54,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,探検・冒険,,,,,,,,60歳以上,,,,,,,,,,,,
,PB6918CF,アラン・グリーンスパン,,61,ビジネス,294,あなたと同じ61歳のとき、アラン・グリーンスパンは連邦準備制度理事会（FRB）議長として、1987年のブラックマンデーという歴史的危機に直面していました。就任わずか2か月後、株式市場は1日で22%も暴落しましたが、彼は即座に「FRBは流動性供給の用意がある」と声明を発表。長年の経済分析の経験を活かし、金融システムへの信頼を維持しながら市場を安定化させることに成功しました。この迅速かつ的確な対応は、理論と実践を融合させた危機管理の手本となり、中央銀行の役割について新たな指針を示しました。民間エコノミストとして培った市場への深い洞察力が、公的責任という新境地で見事に結実した瞬間でした。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:03,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,ビジネス,,,,,,,,60歳以上,,,,,,,,,,,,
,PBB85BE8,アルチュール・ルービンシュタイン,,60,音楽,278,あなたと同じ60歳のとき、アルチュール・ルービンシュタインは1947年、戦後の音楽界で最も輝かしい活動期を迎えていました。ナチスの迫害を逃れアメリカに渡った彼は、この時期、ショパン演奏の最高峰として世界的名声を確立していました。長年の演奏経験を通じて培った解釈の深みと、若い頃の技巧的華やかさが見事に融合し、彼の演奏は「詩的で情熱的」と評されました。この頃から本格的にレコーディング活動を拡大し、後世に残る数々の名盤を録音し始めます。技術の完璧さだけでなく、音楽への深い愛情と人生経験に裏打ちされた表現力で、ピアノ芸術の新たな境地を切り開いていったのです。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:12,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,60歳以上,,,,,,,,,,,,
,P371C078,アルトゥーロ・トスカニーニ,,60,音楽,287,あなたと同じ60歳のとき、アルトゥーロ・トスカニーニは1927年、ミラノ・スカラ座の音楽監督として黄金期を築いていました。この年、彼は若き日から温めてきた理想の演奏解釈を実現するため、オーケストラに対して妥協なき指導を続けました。暗譜での指揮という独自のスタイルを完成させ、作曲家の意図に忠実な演奏を追求する姿勢は、世界中の音楽家たちに大きな影響を与えました。また、ファシズムの台頭に対して芸術家として毅然とした態度を示し始めたのもこの時期です。60年の人生で培った音楽への深い洞察と、権力に屈しない信念を体現し、指揮者としての円熟期における新たな境地を切り開いていました。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:21,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,60歳以上,,,,,,,,,,,,
,PFE2FE63,アルフレッド・ヒッチコック,,62,映画・演劇,298,あなたと同じ62歳のとき、アルフレッド・ヒッチコックは『鳥』（1963年）を完成させ、サスペンス映画の新境地を開拓していました。この作品では、従来の音楽を一切使わず、電子音と鳥の鳴き声だけで恐怖を演出するという革新的な手法に挑戦しました。40年以上のキャリアで培った映像技術と心理描写の知識を結集し、特殊効果と実写を巧みに組み合わせて観客の不安を煽る演出を確立。この年齢で既存の成功法則に安住せず、実験的な表現に果敢に取り組む姿勢は、円熟期における創造性の可能性を示すものでした。長年の経験を体系化し、映画芸術の新たな地平を切り開いた彼の挑戦は、後進の映画監督たちに大きな影響を与え続けています。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:30,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,映画・演劇,,,,,,,,60歳以上,,,,,,,,,,,,
,P32BA0F0,アレクサンドル・ルカシェンコ,,60,政治・社会,298,あなたと同じ60歳のとき、アレクサンドル・ルカシェンコは、ベラルーシ大統領として20年の長期政権を築き、独自の政治手法を確立していました。2014年のこの時期、彼は旧ソ連型の国家統制経済を維持しながら、ロシアと欧州の間でバランス外交を展開していました。集団農場制度を残し、主要産業の国有化を堅持するという、ソ連崩壊後も独自路線を貫く姿勢は、賛否両論を呼びました。この年齢で彼は、長年の統治経験から得た政治手法を体系化し、強権的ながらも安定を重視する独自の統治モデルとして国内外に示していました。彼の政治スタイルは、旧ソ連圏における権威主義体制の一つの典型例として、政治学の研究対象となっています。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:39,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,政治・社会,,,,,,,,60歳以上,,,,,,,,,,,,
,P262B2CB,アンドリュー・メロン,,60,ビジネス,294,あなたと同じ60歳のとき、アンドリュー・メロンは財務長官として3期目を迎え、アメリカ経済の黄金期を支えていました。1915年に築いた銀行・産業帝国の経験を活かし、富裕層への減税と政府支出削減による「メロン・プラン」を推進。国家債務を大幅に削減する一方で、経済成長を促進しました。この時期、彼は単なる実業家から国家経済の設計者へと役割を転換させ、長年培った金融の知見を政策として体系化していきました。また、美術品収集にも情熱を注ぎ、後に国立美術館として寄贈される世界的コレクションの基礎を築きました。ビジネスで得た富を文化遺産として社会に還元する構想は、この時期から本格化していったのです。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:48,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,ビジネス,,,,,,,,60歳以上,,,,,,,,,,,,
,P2595B54,アーネスト・ヘミングウェイ,,60,文学,295,あなたと同じ60歳のとき、アーネスト・ヘミングウェイは、アイダホ州ケッチャムで静かな日々を送りながら、長年の執筆活動で培った経験を振り返っていました。この時期、彼はパリ時代の回想録『移動祝祭日』の執筆に取り組んでおり、若き日の文学修業や、ガートルード・スタイン、F・スコット・フィッツジェラルドらとの交流を丁寧に綴っていました。ノーベル文学賞受賞から数年が経ち、簡潔で力強い文体を確立した作家として、次世代の作家たちに与えた影響を実感する時期でもありました。しかし健康面での不安も抱えており、飛行機事故の後遺症や精神的な疲労と向き合いながら、文学者としての最後の仕事に情熱を注いでいました。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 21:51:57,,,,,,7.0,82.14285714285714,,,7.0,,円熟期の新境地,8.5,7.5,8.0,8.5,8.0,8.5,8.5,文学,,,,,,,,60歳以上,,,,,,,,,,,,
