person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ヘラ,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の結婚と家庭の女神。ゼウスの妻。,,,A,mythology,https://ja.wikipedia.org/wiki/ヘーラー,active,95
アテナ,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の知恵と戦略の女神。,,,A,mythology,https://ja.wikipedia.org/wiki/アテーナー,active,96
アポロン,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の太陽と芸術の神。,,,A,mythology,https://ja.wikipedia.org/wiki/アポローン,active,97
アルテミス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の狩猟と月の女神。,,,A,mythology,https://ja.wikipedia.org/wiki/アルテミス,active,98
アレス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の戦争の神。,,,A,mythology,https://ja.wikipedia.org/wiki/アレース,active,99
アフロディーテ,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の愛と美の女神。,,,A,mythology,https://ja.wikipedia.org/wiki/アプロディーテー,active,100
ヘルメス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の伝令の神。旅人と商人の守護者。,,,A,mythology,https://ja.wikipedia.org/wiki/ヘルメース,active,95
ヘパイストス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の鍛冶の神。火と職人の神。,,,A,mythology,https://ja.wikipedia.org/wiki/ヘーパイストス,active,96
ディオニュソス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話のワインと狂気の神。,,,A,mythology,https://ja.wikipedia.org/wiki/ディオニューソス,active,97
デメテル,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の豊穣の女神。収穫を司る。,,,A,mythology,https://ja.wikipedia.org/wiki/デーメーテール,active,98
ヘスティア,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話のかまどの女神。家庭の守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/ヘスティアー,active,99
アスクレピオス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の医術の神。蛇杖を持つ。,,,B,mythology,https://ja.wikipedia.org/wiki/アスクレピオス,active,100
プロメテウス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話のティターン。人類に火を与えた。,,,A,mythology,https://ja.wikipedia.org/wiki/プロメーテウス,active,95
アトラス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話のティターン。天を支える。,,,A,mythology,https://ja.wikipedia.org/wiki/アトラース,active,96
ペルセウス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の英雄。メデューサを倒した。,,,A,mythology,https://ja.wikipedia.org/wiki/ペルセウス,active,97
テセウス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の英雄。ミノタウロスを倒した。,,,A,mythology,https://ja.wikipedia.org/wiki/テーセウス,active,98
ヘラクレス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の英雄。十二の功業を成した。,,,A,mythology,https://ja.wikipedia.org/wiki/ヘーラクレース,active,99
オデュッセウス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の英雄。トロイの木馬の考案者。,,,A,mythology,https://ja.wikipedia.org/wiki/オデュッセウス,active,100
アキレウス,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話の英雄。トロイ戦争の最強戦士。,,,A,mythology,https://ja.wikipedia.org/wiki/アキレウス,active,95
ヘクトル,ギリシャ神話,神話,MYTHOLOGICAL,ギリシャ神話のトロイの王子。最強の騎士。,,,A,mythology,https://ja.wikipedia.org/wiki/ヘクトール,active,96
