﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,surprise_score,name_raw,title,affiliation,display_name_original,generated_at,last_modified
,PE3443AD,ナリタブライアン,,5,競走馬,262,あなたと同じ5歳のとき、ナリタブライアンは種牡馬として新たな挑戦を続けていました。現役時代に「シャドーロールの怪物」として三冠馬の栄光を手にした彼は、この年、自身の子供たちが競馬場で走る姿を見守る立場となっていました。初年度産駒たちがデビューを迎え、父の才能を受け継ぐ可能性を示し始めた時期です。かつて圧倒的な強さでファンを魅了した名馬は、今度は次世代へその血統を通じて競馬の素晴らしさを伝える役割を担っていました。現役時代とは異なる形で競馬界に貢献し続ける姿は、第二の人生における新しい価値の創造を私たちに教えてくれます。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:32:34,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,P616FBD6,オグリキャップ,,5,競走馬,270,あなたと同じ5歳のとき、オグリキャップは競走馬として最後の輝きを放っていました。1990年、有馬記念での引退レースに臨んだオグリキャップは、多くの競馬ファンの声援を受けながら見事に優勝を飾りました。地方競馬出身という不利な立場から中央競馬のトップに上り詰め、「芦毛の怪物」として愛された彼の姿は、諦めない心の大切さを教えてくれます。引退後は種牡馬として次世代へ優れた資質を受け継ぐ役割を担い、競馬界に新たな貢献を始めました。最後まで全力で走り抜いた姿は、年齢や立場に関係なく挑戦し続けることの素晴らしさを、多くの人々の心に刻み込んだのです。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:32:42,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,P1CE5540,ディープインパクト,,4,競走馬,306,あなたと同じ4歳のとき、ディープインパクトは種牡馬として新たな挑戦を始めていました。現役時代に無敗の三冠馬として日本競馬界に衝撃を与えた彼は、この年、自身の子供たちが初めて競馬場でデビューする瞬間を迎えました。社台スタリオンステーションで過ごす日々の中で、多くの繁殖牝馬たちと出会い、次世代へ自らの優れた資質を受け継ぐという使命に取り組んでいました。競走馬としての栄光から種牡馬としての責任へ――その役割の変化は、まさに円熟した新たな人生のステージでした。現役時代に培った強靭な精神力と卓越した能力は、血統を通じて次の世代へと確実に伝えられていく。それは、競走馬としての限界を超えた、より大きな価値の創造でした。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:32:50,,,,,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,競走馬,,,,,,,,10代,,,,,,,,,,,,
,P7FECC1C,シンボリルドルフ,,5,競走馬,260,あなたと同じ5歳のとき、シンボリルドルフは種牡馬としての新たな人生を歩み始めていました。無敗の三冠馬として競走馬時代に達成した偉業の記憶を胸に、今度は次世代へ自らの血を伝える使命に挑んでいたのです。社台スタリオンステーションで過ごすその日々は、かつてレースで見せた力強さとは異なる、静かな貢献の時間でした。トウカイテイオーをはじめとする優秀な子どもたちを送り出し、自身が築いた伝説を次の世代へと繋いでいく。競走馬として頂点を極めた者だけが持つ、円熟した存在感で後進を導く姿は、晩年における新しい挑戦の形を示していました。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:32:58,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,PD4034E5,ミスターシービー,,5,競走馬,272,あなたと同じ5歳のとき、ミスターシービーは種牡馬として北海道で新たな人生を歩んでいました。かつて三冠馬として日本競馬界に輝かしい歴史を刻んだ彼は、今度は自分の子供たちに優れた資質を受け継がせる使命を担っていました。現役時代に培った強靭な精神力と肉体は、次世代のサラブレッドを育む力となり、多くの産駒が競馬場で活躍し始めていました。トレーニングで鍛えた経験は、今では静かな牧場での日々の中で、若い馬たちへの見本となっていたのです。一線を退いても、新しい形で競馬界に貢献し続ける姿は、どんな立場でも自分の役割を全うすることの大切さを教えてくれます。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:33:06,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,PE06A182,トウカイテイオー,,4,競走馬,264,あなたと同じ4歳のとき、トウカイテイオーは有馬記念への復活を目指していました。3歳時の骨折という大怪我から懸命のリハビリを重ね、多くの人々が引退を勧める中でも、もう一度走る姿を見せることに挑戦し続けました。1993年秋、天皇賞・秋では惜しくも2着となりましたが、その力強い走りは「不屈の闘志」として多くのファンの心を打ちました。諦めずに立ち向かう姿勢は、競馬界に大きな感動を与え、逆境に負けない勇気の大切さを教えてくれました。この年の挑戦は、年齢や困難を超えて夢を追い続けることの尊さを、私たちに伝える貴重な教訓となっています。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:33:14,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,P1EDCCBE,メジロマックイーン,,3,競走馬,275,あなたと同じ3歳のとき、メジロマックイーンは競走馬として最も輝かしい時期を迎えていました。1991年、菊花賞を制覇し、天皇賞（春）連覇という偉業を成し遂げた年です。特に天皇賞（春）では、2着に8馬身差をつける圧倒的な強さを見せつけました。長距離レースでのゆったりとした走法は「マックイーン旋回」と呼ばれ、多くのファンを魅了しました。持久力と冷静な判断力で、無理のないペース配分から最後に力を発揮する走りは、まさに円熟した競走馬の知恵といえるでしょう。この年の活躍は、後の世代の長距離馬たちに大きな影響を与え、ステイヤーの可能性を示す道標となりました。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:33:22,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,PF40827A,ライスシャワー,,4,競走馬,263,あなたと同じ4歳のとき、ライスシャワーは1994年の天皇賞・春で3連覇という偉業に挑戦していました。前年までの2連覇で「春の天皇賞はライスシャワーのもの」と評されながらも、この年は5着に敗れました。しかし、その後も諦めることなく宝塚記念に出走し、最後まで全力で走り抜く姿勢を貫きました。競走馬としての晩年を迎えながらも、常に第一線で戦い続けたライスシャワーの挑戦する姿勢は、年齢に関係なく目標に向かって努力することの大切さを私たちに教えてくれます。たとえ思い通りの結果が得られなくても、挑戦し続ける勇気こそが真の価値なのです。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:33:30,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,P2B08CEF,サイレンススズカ,,4,競走馬,277,あなたと同じ4歳のとき、サイレンススズカは競走馬として円熟の境地を迎えていました。1998年秋、天皇賞（秋）では大逃げという勇敢な戦法で観衆を魅了しました。スタートから先頭に立ち、誰にも追いつかせない圧倒的なスピードで独走する姿は、多くの競馬ファンの心に勇気と感動を刻みました。その走りは「完璧な逃げ」と称され、後世の競走馬たちに大きな影響を与えることになります。持てる力を出し切って挑戦し続ける姿勢は、年齢や経験を重ねた者だからこそ示せる覚悟の表れでした。限界に挑み、自分の信じる道を突き進むことの尊さを、サイレンススズカは私たちに教えてくれたのです。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:33:39,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
,P6280185,テンポイント,,3,競走馬,267,あなたと同じ3歳のとき、テンポイントは日本中を熱狂させる名勝負を繰り広げていました。1977年、皇帝トウショウボーイ、天馬トウカイテイオーとともに「TTG」と呼ばれ、菊花賞では2着に敗れたものの、有馬記念では見事優勝を果たしました。特に天皇賞（秋）でのトウショウボーイとの壮絶な叩き合いは、競馬ファンの記憶に永遠に刻まれています。この時期のテンポイントは、単なる速さだけでなく、レース運びの賢さと粘り強さで多くの人々に感動を与えました。ライバルとの真剣勝負を通じて、諦めない心と全力で走り抜く姿勢の大切さを私たちに教えてくれたのです。,ACHIEVEMENT,,,False,REAL,,,LLM_GENERATED,,,,2025-12-16 20:33:46,,,,,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,競走馬,,,,,,,,10代,,,,,,,,,,,,
