person_name,category,age_at_episode,person_type,notes
林修,学術・文化,50,REAL,今でしょ！の予備校講師
池上彰,学術・文化,60,REAL,ジャーナリスト
佐藤優,学術・文化,55,REAL,外交官・作家
落合陽一,学術・文化,35,REAL,メディアアーティスト
成田悠輔,学術・文化,38,REAL,経済学者・起業家
ひろゆき,エンターテインメント,45,REAL,2ch創設者
中田敦彦,エンターテインメント,38,REAL,オリラジ・YouTube大学
宮崎駿,エンターテインメント,60,REAL,スタジオジブリ
庵野秀明,エンターテインメント,50,REAL,エヴァンゲリオン監督
新海誠,エンターテインメント,45,REAL,君の名は。監督
細田守,エンターテインメント,50,REAL,サマーウォーズ監督
押井守,エンターテインメント,55,REAL,攻殻機動隊監督
富野由悠季,エンターテインメント,55,REAL,ガンダム監督
手塚治虫,エンターテインメント,45,REAL,漫画の神様
藤子・F・不二雄,エンターテインメント,50,REAL,ドラえもん作者
鳥山明,エンターテインメント,40,REAL,ドラゴンボール作者
井上雄彦,エンターテインメント,40,REAL,スラムダンク作者
尾田栄一郎,エンターテインメント,40,REAL,ワンピース作者
荒木飛呂彦,エンターテインメント,50,REAL,ジョジョ作者
諫山創,エンターテインメント,30,REAL,進撃の巨人作者
村上春樹,学術・文化,55,REAL,世界的作家
東野圭吾,学術・文化,55,REAL,ミステリー作家
宮部みゆき,学術・文化,50,REAL,直木賞作家
湊かなえ,学術・文化,45,REAL,告白作者
伊坂幸太郎,学術・文化,45,REAL,重力ピエロ作者
花澤香菜,エンターテインメント,30,REAL,人気声優
神谷浩史,エンターテインメント,40,REAL,リヴァイ役声優
梶裕貴,エンターテインメント,30,REAL,エレン役声優
水樹奈々,エンターテインメント,35,REAL,歌手・声優
林原めぐみ,エンターテインメント,40,REAL,綾波レイ役声優
山寺宏一,エンターテインメント,50,REAL,七色の声優
野沢雅子,エンターテインメント,60,REAL,悟空役声優
大谷育江,エンターテインメント,45,REAL,ピカチュウ役声優
緒方恵美,エンターテインメント,45,REAL,シンジ役声優
田中真弓,エンターテインメント,50,REAL,ルフィ役声優
山口勝平,エンターテインメント,45,REAL,工藤新一役声優
高山みなみ,エンターテインメント,45,REAL,コナン役声優
古谷徹,エンターテインメント,50,REAL,アムロ役声優
池田秀一,エンターテインメント,55,REAL,シャア役声優
若本規夫,エンターテインメント,60,REAL,セル役声優
田村ゆかり,エンターテインメント,40,REAL,王国民
堀江由衣,エンターテインメント,40,REAL,ほっちゃん
釘宮理恵,エンターテインメント,35,REAL,ツンデレの女王
沢城みゆき,エンターテインメント,35,REAL,ルパン三世峰不二子役
早見沙織,エンターテインメント,28,REAL,透き通る声
上坂すみれ,エンターテインメント,28,REAL,ソ連好き声優
悠木碧,エンターテインメント,28,REAL,まどか役声優
内田真礼,エンターテインメント,30,REAL,人気声優
佐倉綾音,エンターテインメント,28,REAL,あやねる
