person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
玉皇大帝,中国神話,神話,MYTHOLOGICAL,中国神話の最高神。天界の支配者。,,,A,mythology,https://ja.wikipedia.org/wiki/玉皇大帝,active,95
西王母,中国神話,神話,MYTHOLOGICAL,中国神話の女神。不老不死の桃を管理。,,,A,mythology,https://ja.wikipedia.org/wiki/西王母,active,96
東王公,中国神話,神話,MYTHOLOGICAL,中国神話の神。西王母の配偶神。,,,B,mythology,https://ja.wikipedia.org/wiki/東王公,active,97
盤古,中国神話,神話,MYTHOLOGICAL,中国神話の創造神。天地を分けた。,,,A,mythology,https://ja.wikipedia.org/wiki/盤古,active,98
女媧,中国神話,神話,MYTHOLOGICAL,中国神話の創造女神。人間を創った。,,,A,mythology,https://ja.wikipedia.org/wiki/女媧,active,99
伏羲,中国神話,神話,MYTHOLOGICAL,中国神話の文化英雄。八卦を創った。,,,A,mythology,https://ja.wikipedia.org/wiki/伏羲,active,100
神農,中国神話,神話,MYTHOLOGICAL,中国神話の農業神。薬草を発見した。,,,A,mythology,https://ja.wikipedia.org/wiki/神農,active,95
黄帝,中国神話,神話,MYTHOLOGICAL,中国神話の帝王。中華民族の始祖。,,,A,mythology,https://ja.wikipedia.org/wiki/黄帝,active,96
炎帝,中国神話,神話,MYTHOLOGICAL,中国神話の帝王。火と農業の神。,,,B,mythology,https://ja.wikipedia.org/wiki/炎帝,active,97
蚩尤,中国神話,神話,MYTHOLOGICAL,中国神話の戦神。黄帝と戦った。,,,B,mythology,https://ja.wikipedia.org/wiki/蚩尤,active,98
后羿,中国神話,神話,MYTHOLOGICAL,中国神話の弓の名手。太陽を射落とした。,,,A,mythology,https://ja.wikipedia.org/wiki/后羿,active,99
嫦娥,中国神話,神話,MYTHOLOGICAL,中国神話の月の女神。后羿の妻。,,,A,mythology,https://ja.wikipedia.org/wiki/嫦娥,active,100
龍王,中国神話,神話,MYTHOLOGICAL,中国神話の海と水の神。四海を治める。,,,B,mythology,https://ja.wikipedia.org/wiki/龍王,active,95
二郎神,中国神話,神話,MYTHOLOGICAL,中国神話の武神。三つの目を持つ。,,,B,mythology,https://ja.wikipedia.org/wiki/二郎神,active,96
哪吒,中国神話,神話,MYTHOLOGICAL,中国神話の少年神。三太子。,,,A,mythology,https://ja.wikipedia.org/wiki/哪吒,active,97
太上老君,中国神話,神話,MYTHOLOGICAL,道教の最高神。老子の神格化。,,,A,mythology,https://ja.wikipedia.org/wiki/太上老君,active,98
媽祖,中国神話,神話,MYTHOLOGICAL,中国神話の海の女神。航海の守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/媽祖,active,99
関帝,中国神話,神話,MYTHOLOGICAL,中国の武神。関羽の神格化。,,,A,mythology,https://ja.wikipedia.org/wiki/関帝,active,100
財神,中国神話,神話,MYTHOLOGICAL,中国の富と繁栄の神。,,,B,mythology,https://ja.wikipedia.org/wiki/財神,active,95
福禄寿,中国神話,神話,MYTHOLOGICAL,中国の三柱の神。幸福・俸禄・長寿。,,,B,mythology,https://ja.wikipedia.org/wiki/福禄寿,active,96
