﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,historical_significance_score,verifiability_score,cultural_impact_score,essential_insight_score,temporal_permanence_score,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,birth_year,target_age,surprise_score,name_raw,title,affiliation,display_name_original,﻿episode_id,﻿episode_id.1
,P5C4FB25,大谷翔平,,17,スポーツ,291,あなたと同じ17歳のとき、大谷翔平は花巻東高校のエースとして甲子園のマウンドに立っていました。2012年春のセンバツ大会では、最速160キロという当時の高校生最速記録に迫る球速を計測し、全国から注目を集めました。しかし、チームは初戦で敗退。悔しさを胸に夏の甲子園を目指しましたが、岩手大会決勝で敗れ、夏の甲子園出場の夢は叶いませんでした。それでも大谷は諦めず、プロのスカウトたちの前で堂々と投げ続け、その才能と真摯な姿勢で多くの人々を魅了しました。高校時代の挫折を経験しながらも、夢に向かって努力を続けた17歳の姿は、若者たちに「失敗を恐れず挑戦することの大切さ」を教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:24,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PE9DD0AD,羽生結弦,,14,スポーツ,278,あなたと同じ14歳のとき、羽生結弦は仙台のリンクで毎日厳しい練習に打ち込んでいました。2009年、彼はジュニアグランプリファイナルに初出場し、世界のトップジュニア選手たちと競い合いました。まだ体も小さく、4回転ジャンプも跳べない中で、表現力と完成度の高い演技で4位入賞を果たします。この経験で「世界で戦うためには何が必要か」を肌で感じ取った羽生は、帰国後さらに練習に熱を入れました。東日本大震災の2年前、未来のオリンピック王者は、まだ無名の中学生として、ただひたすらに氷の上で夢を追いかけていたのです。この時期の経験が、後の不屈の精神を育む礎となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:33,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P9DF49B8,石川佳純,,18,スポーツ,275,あなたと同じ18歳のとき、石川佳純は全日本卓球選手権で初優勝を果たしました。2011年1月、高校3年生だった彼女は、決勝で格上の選手を破り、史上最年少での優勝という快挙を成し遂げたのです。幼い頃から「天才少女」と呼ばれながらも、プレッシャーに押しつぶされそうになった時期もありました。しかし、この優勝は日々の厳しい練習と、諦めない心が実を結んだ瞬間でした。表彰台で涙を流した彼女の姿は、努力を続ければ夢は叶うということを多くの若者に示しました。この勝利を機に、石川選手は日本女子卓球界のエースとして、世界の舞台で活躍する道を歩み始めることになります。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:40,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P23FFCC7,浅田真央,,15,スポーツ,286,あなたと同じ15歳のとき、浅田真央は世界ジュニア選手権で優勝という快挙を成し遂げました。2005年、トリプルアクセルという高難度のジャンプを成功させ、世界を驚かせたのです。しかし、年齢制限のため憧れのトリノオリンピックには出場できないという悔しさも味わいました。それでも彼女は腐ることなく、「次のオリンピックで金メダルを取る」という新たな目標を掲げて練習に打ち込みました。同世代の多くが学校生活を楽しむ中、早朝から深夜まで厳しい練習を続ける日々。この時期の挫折と努力が、後の世界女王への道を切り開いたのです。夢に向かって諦めない姿勢は、多くの若者に勇気を与え続けています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:48,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P00573E3,宇野昌磨,,15,スポーツ,306,あなたと同じ15歳のとき、宇野昌磨は全日本ジュニア選手権で優勝を果たしました。この年、彼は4回転トゥループを成功させ、技術面で大きな飛躍を遂げていました。しかし、シニアのトップ選手たちとの差を痛感する日々でもありました。練習では何度も転倒を繰り返し、悔しさで涙することもありましたが、「もっと上手くなりたい」という純粋な思いが彼を支えていました。当時から完璧主義者として知られ、納得いくまで同じジャンプを跳び続ける姿勢は、コーチや仲間たちに強い印象を与えました。この時期の努力が、後の世界的なスケーターへの礎となったのです。若き日の宇野昌磨は、才能だけでなく、諦めない心でトップへの階段を一歩ずつ登っていました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:57,,,,AWARD,,7.0,87.14285714285714,,,7.0,,若き挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P696F51C,紀平梨花,,14,スポーツ,286,あなたと同じ14歳のとき、紀平梨花は2017年の全日本ジュニア選手権で優勝を果たしました。この大会で彼女は、当時まだ数少ない女子選手しか成功させていなかったトリプルアクセル（3回転半ジャンプ）を見事に決め、会場を沸かせました。練習では何度も転倒を繰り返し、氷上で打撲を作りながらも、「絶対に跳べるようになる」という強い信念を持ち続けました。コーチからは無理をしないよう助言されることもありましたが、彼女は自分の可能性を信じて挑戦を続けました。この優勝は、翌年の平昌オリンピックシーズンへ向けた大きなステップとなり、世界のトップスケーターへの道を切り開く転機となったのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:04,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PDA5888F,錦織圭,,19,スポーツ,272,あなたと同じ19歳のとき、錦織圭は2008年の全米オープンジュニアで優勝を果たしました。13歳で単身アメリカに渡り、言葉も文化も違う環境で孤独と戦いながら練習を重ねてきた彼にとって、この優勝は大きな転機となりました。実はこの年、プロツアーでも初めてATPツアーの本戦に出場し、デルレイビーチでは当時世界ランキング12位の選手を破る大金星を挙げています。若くして海外で挑戦する不安や重圧の中、「日本人初のトップ10入り」という大きな夢に向かって一歩ずつ前進していた時期でした。この経験が、後に世界ランキング4位まで上り詰める原動力となったのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:13,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PD04D3FA,伊藤美誠,,17,スポーツ,271,あなたと同じ17歳のとき、伊藤美誠は2017年のITTFワールドツアー・ドイツオープンで、日本人史上最年少となる16歳9ヶ月で女子シングルス優勝を果たしました。この大会では世界ランキング上位の選手たちを次々と破り、「みまパンチ」と呼ばれる高速卓球で世界を驚かせました。試合後のインタビューで「東京オリンピックで金メダルを取りたい」と堂々と宣言した姿は、若さゆえの恐れを知らない挑戦心の表れでした。幼い頃から「オリンピックで金メダル」という夢を追い続け、10代で世界の頂点に立った彼女の姿は、明確な目標を持ち続けることの大切さを教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:21,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PC95F4E5,張本智和,,14,スポーツ,331,あなたと同じ14歳のとき、張本智和は世界ジュニア選手権で史上最年少優勝を果たしました。2016年、南アフリカで開催された大会で、彼は圧倒的な強さを見せつけ、シングルス、ダブルス、団体の3冠を達成したのです。この快挙の背景には、幼少期から毎日6時間以上の厳しい練習を続けてきた努力がありました。試合中の「チョレイ!」という独特の掛け声は、自分を鮓舞し集中力を高めるための彼なりの工夫でした。同年代の多くが部活動で汗を流す中、張本は世界の頂点を目指して孤独な戦いを続けていました。この優勝により、彼は日本卓球界の新星として注目を集め、東京オリンピックへの期待も高まっていきました。若くして世界一になった彼の姿は、夢に向かって努力し続けることの大切さを教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:29,,,,AWARD,,7.0,87.14285714285714,,,7.0,,若き挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PBAA27E5,内村航平,,18,スポーツ,293,あなたと同じ18歳のとき、内村航平は全日本ジュニア選手権で優勝を果たしました。高校3年生だった彼は、この大会で6種目すべてにおいて安定した演技を披露し、圧倒的な強さで頂点に立ちました。幼少期から体操一筋で練習を重ねてきた努力が実を結んだ瞬間でした。しかし、彼はこの栄光に満足することなく、「世界で戦うためにはまだまだ」と次の目標を見据えていました。10代最後のこの年、内村は日本体操界の新星として注目を集め、後に「キング」と呼ばれる輝かしいキャリアへの第一歩を踏み出したのです。若くして結果を出しながらも謙虚に成長を続ける姿勢は、多くの若者に夢を追い続けることの大切さを教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:37,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
