person_name,category,person_type,sub_category,birth_year,description,age
エルヴィス・プレスリー,音楽,REAL,ロック,1935,キング・オブ・ロックンロール,21
カート・コバーン,音楽,REAL,グランジ,1967,ニルヴァーナ,24
ビートルズ,音楽,REAL,ロック,1960,史上最も影響力のあるバンド,4
吉田知那美,スポーツ,REAL,カーリング,1991,カーリング五輪メダリスト,27
バラク・オバマ,政治・社会,REAL,政治家,1961,米国44代大統領,47
ピーター・アーツ,スポーツ,REAL,K-1,1970,K-1王者,24
ダリオ・アモデイ,ビジネス,REAL,AI起業家,1983,Anthropic CEO・共同創設者,38
ダニエラ・アモデイ,ビジネス,REAL,AI起業家,1984,Anthropic社長・共同創設者,37
アンドリュー・ング,科学・技術,REAL,AI研究者,1976,Google Brain共同創設者,35
フェイフェイ・リー,科学・技術,REAL,AI研究者,1976,ImageNet創設者,33
