person_name,category,person_type,role,achievement,achievement_year
野村克也,スポーツ,DOMESTIC_SPORTS_LEGEND,プロ野球選手・監督,ID野球の創始者として戦略的野球を確立,1970
金田正一,スポーツ,DOMESTIC_SPORTS_LEGEND,プロ野球投手,プロ野球史上唯一の400勝達成,1969
落合博満,スポーツ,DOMESTIC_SPORTS_LEGEND,プロ野球選手,史上唯一の三度の三冠王達成,1985
張本勲,スポーツ,DOMESTIC_SPORTS_LEGEND,プロ野球選手,プロ野球史上初の3000本安打達成,1980
江夏豊,スポーツ,DOMESTIC_SPORTS_LEGEND,プロ野球投手,オールスターゲームで史上唯一の9連続奪三振,1971
稲尾和久,スポーツ,DOMESTIC_SPORTS_LEGEND,プロ野球投手,日本シリーズで3連投3連勝の偉業,1958
三浦知良,スポーツ,DOMESTIC_SPORTS_LEGEND,サッカー選手,Jリーグ開幕時のスター選手として日本サッカーを牽引,1993
中田英寿,スポーツ,DOMESTIC_SPORTS_LEGEND,サッカー選手,日本人初のセリエA移籍で日本サッカーの国際化を推進,1998
釜本邦茂,スポーツ,DOMESTIC_SPORTS_LEGEND,サッカー選手,メキシコ五輪で得点王として日本サッカーの礎を築く,1968
大鵬幸喜,スポーツ,DOMESTIC_SPORTS_LEGEND,大相撲力士,昭和の大横綱として優勝32回の大記録,1961
千代の富士,スポーツ,DOMESTIC_SPORTS_LEGEND,大相撲力士,通算1000勝達成と優勝31回の大記録,1989
貴乃花光司,スポーツ,DOMESTIC_SPORTS_LEGEND,大相撲力士,史上最年少22歳で横綱昇進,1995
力道山,スポーツ,DOMESTIC_SPORTS_LEGEND,プロレスラー,シャープ兄弟戦で日本プロレスを国民的スポーツに,1954
ジャイアント馬場,スポーツ,DOMESTIC_SPORTS_LEGEND,プロレスラー,全日本プロレス旗揚げで日本プロレスの黄金時代を築く,1972
具志堅用高,スポーツ,DOMESTIC_SPORTS_LEGEND,プロボクサー,WBA世界王者として13連続防衛の日本記録,1981
