sample_no,episode_id,person_name,age,category,person_type,episode_text,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度
1,EP-251217204817669,RADWIMPSの野田洋次,7.0,音楽,REAL,あなたと同じ7歳のとき RADWIMPSの野田洋次は1992年頃、東京都内の小学校に通いながら音楽への興味を深めていました。この時期、彼は家にあったピアノに触れることが多く、独学で簡単なメロディを弾くことを覚えました。特に印象的だったのは、テレビで流れる楽曲を耳で聞いただけで鍵盤で再現しようとする姿でした。また、学校の音楽の授業では他の子どもたちよりも楽器に対する関心が高く、先生からも「音感が良い」と評価されていました。放課後は友達と遊ぶ時間も大切にしていましたが、家に帰ると自然とピアノの前に座り、思いついたメロディを鍵盤で確認する習慣がついていました。この頃から音楽に対する集中力と探究心を示しており、後にシンガーソングライターとして活躍する基盤となる音楽的感性が育まれていた時期といえるでしょう。,6.5,7.5,4.0,7.0,6.5,6.0,5.5
2,EP-000001393,剣持勇,31.0,芸術・文化,REAL,あなたと同じ31歳のとき、剣持勇は戦後日本のデザイン界に新風を吹き込む挑戦を始めていました。1951年、彼は工業デザイナーとして、日本の伝統的な美意識と西洋のモダンデザインを融合させる試みに取り組んでいました。この年、彼は後に日本を代表する家具デザインとなる作品群の構想を練り始めます。特に注目すべきは、日本人の生活様式に合わせた低座の椅子のデザイン研究でした。戦後の混乱期にあって、彼は「日本人のための日本のデザイン」という信念を持ち、欧米の模倣ではない独自の道を模索していました。この時期の探求心が、後の「剣持デザイン」の基礎となり、日本のインダストリアルデザインの発展に大きく貢献することになります。,6.8,6.9,5.0,7.9,8.0,6.24,6.0
3,EP-000002368,アーノルド・シュワルツェネッガー,55.0,エンターテイメント,REAL,あなたと同じ55歳のとき、アーノルド・シュワルツェネッガーは、カリフォルニア州知事として380億ドルの財政赤字という危機に直面していました。2003年の就任当初は「素人」と批判され、予算削減案の議会通過は困難を極めました。しかし彼は党派を超えた対話を重視する姿勢に転換し、共和党でありながら環境保護や教育予算確保で民主党と積極的に協力。この姿勢が評価され、「コンパッショネート・ガバナー(思いやりある知事)」と呼ばれるようになりました。,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,EP-000000854,中島洋,42.0,科学・技術,REAL,あなたと同じ42歳のとき、中島洋は人生最大の挫折を味わいました。10年間研究してきた次世代ロケット燃料の実験が大失敗に終わり、研究室は爆発事故で全焼。同僚からは「危険すぎる」と猛反対され、プロジェクトは中止となりました。しかし彼は諦めず、なんと自宅の庭に手作りの実験設備を構築。近所住民の苦情と妻の猛反対の中、深夜にこっそり実験を続けました。そんな彼の姿を見た小学生の息子が「パパの実験ノート貸して」と一言。子供の純粋な疑問から新たな化学反応のヒントを得た中島は、ついに安全で高効率な新燃料の開発に成功。この発見が後の日本の宇宙開発を大きく前進させることになったのです。,6.3,6.4,8.0,7.9,9.5,8.76,4.2
5,EP-000001802,江夏豊,35.0,スポーツ,REAL,あなたと同じ35歳のとき、江夏豊は1983年、日本ハムファイターズで現役最後のシーズンを迎えていました。かつて「優勝請負人」として阪神、南海で活躍し、オールスター9連続奪三振という伝説を残した名投手も、この年限りで引退を決意。7月17日の対ロッテ戦では、35歳にして最後の登板となり、1イニングを投げて2奪三振を記録しました。通算206勝、2987奪三振という輝かしい成績を残し、「魔球」と呼ばれたシュートで一時代を築いた江夏。晩年は故障に苦しみながらも、最後まで投手としての誇りを持ち続けた姿は、多くのファンの記憶に刻まれています。栄光と挫折の両方を経験した彼の野球人生は、プロフェッショナルの厳しさを物語っています。,7.8,7.4,5.0,7.9,8.0,6.4,8.5
6,EP-000008780,ダニエル・ラドクリフ,20.0,エンターテイメント,REAL,あなたと同じ20歳のとき、ダニエル・ラドクリフは2009年、ハリー・ポッター撮影の合間にアルコール依存症に苦しんでいた。世界的名声の重圧で毎晩飲酒する日々が続いていたが、ある日撮影現場で二日酔いのまま演技していた自分に気づき愕然とした。その瞬間「ハリーを汚している」と感じ、翌日から一滴も飲まないと決意。以来14年間禁酒を貫き、真摯な演技で最終作『死の秘宝』を完成させた。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
7,EP-000005476,木下是雄,50.0,科学・技術,REAL,あなたと同じ50歳のとき、木下是雄は1968年、東京大学で物理学の講義が学生運動により完全に封鎖された。研究者として絶望的な状況の中、彼は意外な決断を下す。物理学の専門知識を捨て、学生たちが本当に求めているものを見つめ直した結果、「理科系の作文技術」という全く新しい分野の開拓に着手。この転機が後に数十万人の研究者に影響を与える名著誕生のきっかけとなった。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
8,EP-000000604,羽生結弦,29.0,スポーツ,REAL,あなたと同じ29歳のとき、羽生結弦は競技引退を表明した記者会見で、実は「4回転アクセルを跳べないまま引退することへの悔しさ」を涙ながらに告白しました。オリンピック2連覇という頂点を極めた王者が、たった一つの技への執着で競技人生を終えることに深い葛藤を抱えていたのです。2022年11月の単独アイスショー「プロローグ」では、競技ルールに縛られない自由な環境でその4回転アクセルに挑戦。失敗しても減点されない舞台で、彼は初めて心から楽しそうにその技に向き合う姿を見せました。完璧主義者として知られた羽生が、「失敗を恐れずに挑戦する喜び」を再発見した瞬間でした。,7.3,6.9,7.0,7.4,8.0,6.24,7.3
9,EP-000008376,イアン・アンダーソン,25.0,音楽,REAL,あなたと同じ25歳のとき、イアン・アンダーソンは1973年、ジェスロ・タルの代表作「アクアラング」で世界的成功を収めた直後、突然「もうロックスターを辞める」と宣言した。メンバーや関係者が困惑する中、彼は農場を購入し本格的な農業に転身。しかし土に触れる日々の中で音楽への情熱が再燃し、1年後には農業体験から生まれた楽曲で復帰を果たした。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
10,EP-000002670,優里,25.0,音楽,REAL,あなたと同じ25歳のとき、優里は音楽への情熱を胸に、まだ無名のシンガーソングライターとして活動していました。この頃、彼は自分の楽曲をTikTokに投稿し始め、15秒という短い時間の中で聴き手の心を掴む方法を模索していました。昼間は生活のためにアルバイトをしながら、夜は自宅で楽曲制作に没頭する日々を送っていました。特に印象的だったのは、後に大ヒットとなる「ドライフラワー」の原型となる楽曲を、この時期に作り始めていたことです。まだ完成形ではありませんでしたが、失恋の痛みを美しいメロディーに込めた楽曲は、彼の音楽人生を大きく変える転機となる作品でした。,7.0,8.0,5.0,7.0,6.0,6.24,7.279999999999999
