person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P732CFDC,野村克也,,44,スポーツ,255,あなたと同じ44歳のとき、野村克也は現役選手兼任監督として南海ホークスの指揮を執っていました。1975年のこの年、選手としては出場機会が減りながらも、監督として「ID野球」の原型となる緻密なデータ分析と心理戦を駆使した采配を展開しました。特に投手起用では相手打者との対戦成績を細かく記録し、当時としては画期的な確率論的配球を実践。「勝ちに不思議の勝ちあり、負けに不思議の負けなし」という名言を残したのもこの頃です。現役晩年でありながら、指導者として新たな境地を開拓し、後の名監督への道を歩み始めた転換期でした。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:17:38,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P5888348,金田正一,,48,スポーツ,255,あなたと同じ48歳のとき、金田正一は1985年にロッテオリオンズの監督として指揮を執っていました。現役時代に400勝という不滅の大記録を打ち立てた伝説の投手は、監督としても情熱を注ぎ込みました。この年、チームは苦戦を強いられましたが、金田監督は若手選手の育成に力を入れ、自らの豊富な経験を惜しみなく伝えました。「投手は気持ちで投げるんだ」という彼の言葉は、多くの選手たちの心に刻まれました。現役時代の栄光に甘んじることなく、後進の育成に全力を傾ける姿勢は、真のプロフェッショナルとしての生き方を示していました。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:17:46,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P1434465,落合博満,,61,スポーツ,268,あなたと同じ61歳のとき、落合博満は中日ドラゴンズのゼネラルマネージャー（GM）として球団改革に取り組んでいました。2012年、監督退任後初めて迎えたこの年、落合GMは現場から一歩引いた立場で、選手育成システムの構築や若手の発掘に注力しました。現役時代は三冠王を3度獲得し、監督としてもリーグ優勝4回、日本一1回という輝かしい実績を残した落合でしたが、GMとしては異なる視点から球団を支える役割を担いました。「オレ流」と呼ばれた独自の野球哲学を、組織運営にも活かそうと奮闘する姿は、第二の人生においても挑戦を続ける姿勢を示すものでした。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:17:54,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P1D2AC9E,張本勲,,30,スポーツ,283,あなたと同じ30歳のとき、張本勲は1970年のシーズンに2000本安打という偉大な記録を達成しました。この年、東映フライヤーズの主砲として打率.316、31本塁打、109打点という素晴らしい成績を残し、首位打者のタイトルも獲得しています。当時の日本プロ野球界で、2000本安打は極めて困難な記録とされていましたが、張本選手は卓越した打撃技術と努力の積み重ねによってこの偉業を成し遂げました。在日韓国人として差別や偏見にも直面しながら、野球への情熱を貫き通した姿は、多くの人々に勇気と希望を与えました。この記録達成は、彼のプロ野球人生における重要な節目となったのです。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:02,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P98DF643,江夏豊,,35,スポーツ,310,あなたと同じ35歳のとき、江夏豊は1983年、日本ハムファイターズで現役最後のシーズンを迎えていました。かつて「優勝請負人」として阪神、南海で活躍し、オールスター9連続奪三振という伝説を残した名投手も、この年限りで引退を決意。7月17日の対ロッテ戦では、35歳にして最後の登板となり、1イニングを投げて2奪三振を記録しました。通算206勝、2987奪三振という輝かしい成績を残し、「魔球」と呼ばれたシュートで一時代を築いた江夏。晩年は故障に苦しみながらも、最後まで投手としての誇りを持ち続けた姿は、多くのファンの記憶に刻まれています。栄光と挫折の両方を経験した彼の野球人生は、プロフェッショナルの厳しさを物語っています。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:11,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PF8C70D5,稲尾和久,,30,スポーツ,283,あなたと同じ30歳のとき、稲尾和久は1967年シーズンを迎えていました。「神様、仏様、稲尾様」と称賛された全盛期から、肩の故障に苦しみ始めた時期でした。この年、彼は投手としての限界を感じながらも、西鉄ライオンズの選手兼任コーチとして後進の指導にあたりました。かつて1958年の日本シリーズで3連敗から4連勝の奇跡を演じ、自ら3勝を挙げた栄光の記憶を胸に、衰えゆく肉体と向き合いながらチームに貢献しようとする姿は、多くの人々に感銘を与えました。栄光の絶頂から挫折を経験し、それでも野球への情熱を失わなかった稲尾の姿勢は、真のプロフェッショナルとは何かを教えてくれます。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:20,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PF2E3626,三浦知良,,37,スポーツ,276,あなたと同じ37歳のとき、三浦知良は2004年にヴィッセル神戸でプレーし、Jリーグ史上最年長となるハットトリックを達成しました。多くの選手が引退を考える年齢でありながら、彼は衰えることのない向上心とプロ意識で若手選手たちを圧倒。この年、日本代表にも選出され続け、「キング・カズ」として日本サッカー界のレジェンドとしての地位を確立しました。年齢を言い訳にせず、日々のトレーニングを欠かさない姿勢は、多くのアスリートに「プロフェッショナルとは何か」を示す手本となりました。年齢は単なる数字であり、情熱と努力があれば限界は超えられることを体現した一年でした。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:28,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PAABA5BA,中田英寿,,43,スポーツ,263,あなたと同じ43歳のとき、中田英寿は2020年に日本酒の魅力を世界に発信する活動に情熱を注いでいました。現役引退後、全国の酒蔵を巡り日本の伝統文化を学んだ経験を活かし、この年には新型コロナウイルスの影響で苦境に立つ酒蔵を支援するプロジェクトを展開。自身が立ち上げた「JAPAN CRAFT SAKE COMPANY」を通じて、日本酒の輸出促進や若い世代への普及に尽力しました。サッカー選手時代と同様に、フィールドを変えても常に挑戦者として日本文化の価値を高める姿勢は、第二の人生における新たなキャリア構築の模範となっています。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:36,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P93EE607,釜本邦茂,,28,スポーツ,253,あなたと同じ28歳のとき、釜本邦茂は1968年のメキシコオリンピックで日本サッカー史に残る偉業を成し遂げました。この大会で釜本は7得点を挙げ、得点王に輝くとともに、日本代表を銅メダルに導きました。特に準決勝のハンガリー戦では、強豪相手に果敢に挑み、その後の3位決定戦では勝利に貢献。この快挙は日本サッカー界にとって初の五輪メダル獲得となり、後のサッカー人気の基礎を築きました。釜本の活躍は、個人の技術だけでなく、チームのために献身的にプレーする姿勢が評価され、日本スポーツ史に輝かしい1ページを刻みました。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:43,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PDB1DD35,大鵬幸喜,,59,スポーツ,291,あなたと同じ59歳のとき、大鵬幸喜は2000年に日本相撲協会の理事として、相撲界の発展に尽力していました。現役時代に32回の優勝という大記録を打ち立てた大横綱は、引退後も後進の指導に情熱を注ぎ、大嶽部屋の師匠として多くの力士を育成していました。この年、相撲の国際化や若手力士の育成について積極的に発言し、伝統を守りながらも時代に即した改革の必要性を説いていました。「巨人・大鵬・卵焼き」と称された国民的英雄は、相撲道の精神を次世代に伝えることを使命とし、厳しくも温かい指導で知られていました。栄光に甘んじることなく、相撲界の未来のために働き続ける姿は、多くの人々に感銘を与えました。,ACHIEVEMENT,,,,DOMESTIC_SPORTS_LEGEND,,,,,,,2025-11-24 15:18:52,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
