person_name,category,birth_year,description,person_type,sub_category
ミック・ジャガー,音楽,1943.0,ローリング・ストーンズのボーカル。ロックのカリスマ,REAL,音楽
エルヴィス・プレスリー,音楽,1935.0,キング・オブ・ロックンロール,REAL,音楽
アルフレッド・ヒッチコック,映画・演劇,1899.0,サスペンスの神様,REAL,映画・演劇
チャールズ・チャップリン,映画・演劇,1889.0,喜劇王,REAL,映画・演劇
アインシュタイン,科学・技術,1879.0,相対性理論,REAL,科学・技術
バラク・オバマ,政治・社会,1961.0,米国44代大統領,REAL,政治・社会
アンゲラ・メルケル,政治・社会,1954.0,ドイツ首相,REAL,政治・社会
マハトマ・ガンジー,政治・社会,1869.0,インド独立の父,REAL,政治・社会
ウィンストン・チャーチル,政治・社会,1874.0,英国首相,REAL,政治・社会
ベートーベン,音楽,1770.0,古典派・ロマン派作曲家,REAL,音楽
ガブリエル・ガルシア・マルケス,文学,1927.0,ノーベル文学賞作家,REAL,文学
スティーヴン・ホーキング,科学・技術,1942.0,宇宙物理学者,REAL,科学・技術
ウラジーミル・プーチン,政治・社会,1952.0,ロシア大統領。21世紀の国際政治に巨大な影響,REAL,政治・社会
習近平,政治・社会,1953.0,中国国家主席。「中国の夢」を掲げ世界第2位の経済大国を指導,REAL,政治・社会
ナレンドラ・モディ,政治・社会,1950.0,インド首相。14億人の民主主義国家を率いる,REAL,政治・社会
ボリス・ジョンソン,政治・社会,1964.0,英国首相。Brexit実現に導いた政治家,REAL,政治・社会
エマニュエル・マクロン,政治・社会,1977.0,フランス大統領。39歳の史上最年少大統領,REAL,政治・社会
ゼレンスキー,政治・社会,1978.0,ウクライナ大統領。ロシア侵攻に抵抗するリーダー,REAL,政治・社会
ティム・クック,ビジネス,1960.0,Apple CEO。時価総額世界一企業を率いる,REAL,ビジネス
サンダー・ピチャイ,ビジネス,1972.0,Google CEO。AIとクラウドで世界を変革,REAL,ビジネス
サティア・ナデラ,ビジネス,1967.0,Microsoft CEO。クラウド転換で復活を遂げた,REAL,ビジネス
ジェンスン・ファン,ビジネス,1963.0,NVIDIA創業者。AI革命の中心的存在,REAL,ビジネス
オプラ・ウィンフリー,エンターテイメント,1954.0,米国で最も影響力のあるテレビ司会者・メディア王,REAL,エンターテイメント
