person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
PDA5888F,錦織圭,,52,スポーツ,347,"錦織圭選手は1989年生まれのため、現在まだ30代です。52歳時点のエピソードは未来の出来事となり、事実に基づいた内容を生成することができません。

代わりに、錦織選手の実際の印象的なエピソードをご提案いたします：

**28歳時点のエピソード案：**

あなたと同じ28歳のとき、錦織圭は2018年のモンテカルロ・マスターズで準優勝を果たしました。この大会で彼は世界ランキング1位のラファエル・ナデルと対戦し、クレーコートの王者に果敢に挑みました。度重なる怪我からの復帰途上にありながら、持ち前の攻撃的なテニスと粘り強さで世界のトップ選手たちと互角に戦う姿は、多くの人々に困難を乗り越える勇気を与えました。

事実に基づいた正確なエピソードをご希望の場合は、対象年齢の変更をお勧めいたします。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:02,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PBBC712F,大坂なおみ,,24,スポーツ,267,あなたと同じ24歳のとき、大坂なおみは2022年に自身のメンタルヘルスと向き合う重要な時期を過ごしていました。前年に「アスリートもメンタルヘルスを優先すべき」と公言し、全仏オープンを棄権した彼女は、この年、母親になることを発表しました。グランドスラム4度優勝という輝かしい実績を持ちながらも、プレッシャーや不安と闘い、自分の心の健康を最優先にする決断をした姿は、世界中の若者に勇気を与えました。テニスコートの外でも、人種差別への抗議活動や社会問題への発信を続け、アスリートとして、そして一人の人間としての成長を見せた1年となりました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:10,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P58F675D,桃田賢斗,,47,スポーツ,325,"申し訳ございませんが、桃田賢斗選手の47歳時点でのエピソードを生成することはできません。

桃田賢斗選手は1994年生まれで、2024年現在まだ30歳です。そのため、47歳時点のエピソードは未来の出来事となり、「事実に基づいた内容」という要件を満たすことができません。

もし桃田選手の実際の人生における印象的なエピソードをご希望でしたら、以下のような時期のエピソードをご提案できます：

- 25歳（2019年）：世界選手権優勝、世界ランキング1位の時期
- 26歳（2020年）：交通事故からの復帰の時期
- 27歳（2021年）：東京オリンピック出場時

これらの年齢でエピソードを生成し直すことは可能ですので、ご希望があればお知らせください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:17,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
P9DF49B8,石川佳純,,25,スポーツ,252,あなたと同じ25歳のとき、石川佳純は2018年の全日本卓球選手権で4連覇を達成し、さらに同年の世界卓球選手権団体戦では銀メダル獲得に大きく貢献しました。特に印象的だったのは、アジア競技会での銀メダル獲得です。決勝では中国の強豪選手と激しい戦いを繰り広げ、惜しくも敗れたものの、その粘り強いプレーは多くの人々に感動を与えました。また、この年は2020年東京オリンピックに向けた重要な時期でもあり、日本卓球界のエースとして、若手選手の指導にも力を注ぎながら、自身の技術向上にも妥協しない姿勢を見せていました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:24,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PC95F4E5,張本智和,,53,スポーツ,335,"張本智和選手は2003年生まれで、現在まだ20代前半です。そのため、53歳時点のエピソードは実在しておらず、事実に基づいた内容を生成することができません。

代わりに、彼の実際の印象的なエピソードをご紹介することは可能です。例えば：

「張本智和が14歳のとき、2017年の世界選手権で史上最年少でのベスト8進出を果たしました。この快挙により、彼は日本卓球界の新星として一躍注目を集めました。また、同年のITTFワールドツアー・ジャパンオープンでは、水谷隼選手を破り、史上最年少での優勝を達成。『チョレイ！』という独特の掛け声とともに、若くして世界トップレベルの実力を証明しました。」

このような実際の年齢でのエピソードでよろしければ、ご希望の年齢をお知らせください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:32,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PD04D3FA,伊藤美誠,,58,スポーツ,358,"伊藤美誠選手は2000年生まれのため、2024年現在まだ24歳です。58歳時点のエピソードは実在しないため、事実に基づいた内容を生成することができません。

代わりに、彼女の実際の印象的なエピソードをご紹介できます：

「あなたと同じ年齢だった2016年、当時15歳の伊藤美誠はリオデジャネイロオリンピックに出場し、女子団体で銅メダルを獲得しました。日本卓球史上最年少でのメダル獲得という快挙を成し遂げ、その後も東京オリンピックで金・銀・銅メダルを獲得するなど、日本卓球界を牽引する存在となりました。幼少期から『みまパンチ』と呼ばれる独特のフォアハンドで注目を集め、努力と才能で世界の頂点に立った彼女の姿は、多くの若者に夢と希望を与えています。」

別の年齢設定でのエピソード生成をご希望であれば、お知らせください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:41,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PE6D5919,瀬戸大也,,45,スポーツ,333,"瀬戸大也選手は1994年生まれのため、2024年現在30歳です。45歳時点は2039年となり、まだ到来していない未来となります。

そのため、事実に基づいたエピソードを生成することができません。

代わりに、彼の現役時代の印象的なエピソードをご提案できます：

「あなたと同じ30歳のとき、瀬戸大也は東京オリンピック後の困難な時期を乗り越え、競泳選手としての再起に挑んでいました。2021年の私生活での問題により活動自粛を経験しましたが、その後トレーニングに真摯に向き合い、国際大会への復帰を果たしました。彼の姿は、過ちを認め、努力によって信頼を取り戻すことの大切さを示しています。」

このような形であれば、事実に基づいた教育的価値のあるエピソードを提供できます。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:51,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PFFAB3C5,池江璃花子,,22,スポーツ,260,あなたと同じ22歳のとき、池江璃花子は2022年のパンパシフィック水泳選手権で金メダルを獲得しました。2019年に白血病を公表し、長い闘病生活と過酷なリハビリを経て、わずか3年後に国際舞台での優勝を果たしたのです。100mバタフライで57秒68の好タイムをマークし、表彰台の頂点に立った彼女の姿は、多くの人々に勇気と希望を与えました。「諦めない心」を体現した彼女は、病を乗り越えてトップアスリートとして復活し、同年のアジア競技大会でも金メダルを獲得。逆境に立ち向かう強さと、夢を追い続けることの大切さを世界に示しました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:25:58,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PFDA72E8,萩野公介,,22,スポーツ,263,あなたと同じ22歳のとき、萩野公介は2016年リオデジャネイロオリンピックで日本競泳界に歴史を刻みました。400m個人メドレーで金メダル、200m個人メドレーで銀メダル、4×200mリレーで銅メダルを獲得し、日本人競泳選手として初めて一つの大会で3つのメダルを手にしたのです。特に金メダルを獲得した400m個人メドレーでは、世界記録保持者を破っての優勝でした。幼少期から「天才スイマー」と呼ばれ続けた彼が、重圧を乗り越えて頂点に立った瞬間でした。この偉業は、才能だけでなく、地道な努力と精神力の大切さを私たちに教えてくれます。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:26:05,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
P45712EA,桐生祥秀,,34,スポーツ,381,"桐生祥秀選手は1995年12月15日生まれのため、2024年現在まだ28-29歳です。34歳時点は2029年となり、まだ到来していない未来です。

そのため、事実に基づいたエピソードを生成することができません。

代わりに、彼の最も印象的な実績である **22歳（2017年）のエピソード** をご提案いたします：

---

あなたと同じ22歳のとき、桐生祥秀は日本人として初めて100m走で9秒台の壁を突破しました。2017年9月9日、福井県で開催された日本学生対校選手権で、追い風1.8mの条件下、9秒98という日本新記録を樹立。1968年に10秒1台が出てから実に49年、日本陸上界の悲願だった9秒台を達成した瞬間でした。この快挙は「不可能を可能にする」挑戦の象徴として、多くの若者に夢と希望を与えました。

---

このような形でよろしいでしょうか？",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:26:15,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PE2AF8BE,サニブラウン,,28,スポーツ,392,"サニブラウン選手は1999年生まれのため、28歳は2027年となり、まだ到来していない未来の年齢です。

そのため、実際に起きた事実に基づくエピソードを生成することができません。

代わりに、彼の実際の年齢での印象的なエピソードをご提案できます：

**20歳（2019年）のエピソード案：**

あなたと同じ20歳のとき、サニブラウン・アブデル・ハキームは日本陸上競技選手権大会の男子100mで9秒97の日本新記録を樹立しました。さらに200mでも20秒08の日本新記録でを達成し、2種目制覇という快挙を成し遂げました。この記録は、日本人として初めて100mで9秒台に突入した桐生祥秀の記録を更新するものでした。ガーナ人の父と日本人の母を持つサニブラウンは、持ち前の才能と努力で日本短距離界の新時代を切り開きました。

別の年齢でのエピソード生成をご希望の場合は、お知らせください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:26:25,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
PE1B0B26,井上尚弥,,35,スポーツ,280,あなたと同じ35歳のとき、井上尚弥は4階級制覇を達成し、世界ボクシング界の頂点に君臨していました。2024年、彼はスーパーバンタム級で複数の世界タイトルを統一し、「モンスター」の異名にふさわしい圧倒的な強さを見せ続けました。特筆すべきは、そのキャリアを通じて培ってきた技術と経験が完璧に融合し、パワーとスピード、そして戦略的な判断力が最高レベルに達していた時期です。彼は日本人ボクサーとして史上最高の評価を受け、世界中のボクシングファンから尊敬を集めました。井上の姿は、才能だけでなく、日々の努力と謙虚さを忘れない姿勢が真の成功をもたらすことを証明しています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:26:32,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
PAF52EB3,那須川天心,,33,スポーツ,375,"那須川天心選手は2025年現在26歳であり、33歳時点のエピソードはまだ発生していません。そのため、事実に基づいた33歳時のエピソードを生成することはできません。

代わりに、彼の実際のキャリアから印象的なエピソードをご紹介できます。例えば：

**20歳のときのエピソード（2018年）:**
「あなたと同じ20歳のとき、那須川天心は格闘技イベントRIZINで無敗記録を更新し続け、『神童』として国内外から注目を集めていました。特に大晦日のイベントでは、世界的ボクサーのフロイド・メイウェザーとのエキシビションマッチに挑戦。体格差のある相手に果敢に挑む姿勢は、若くして世界の頂点に挑戦する勇気の大切さを示しました。」

33歳時点の事実に基づいたエピソードが必要な場合は、別の人物をお選びいただくか、より若い年齢でのエピソード生成をご検討ください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:26:41,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,スポーツ
P1CB3D4D,朝倉未来,,66,スポーツ,299,"申し訳ございませんが、朝倉未来選手は1992年生まれで、現在まだ30代前半です。そのため、66歳時点のエピソードは存在せず、事実に基づいた内容を生成することができません。

朝倉未来選手について事実に基づいたエピソードをご希望の場合は、以下のような選択肢があります：

1. **現在の年齢に近い時期**のエピソード（20代後半〜30代前半）
2. **別の人物**で66歳時点のエピソードが実在する方
3. **異なる年齢設定**での朝倉未来選手のエピソード

いずれかの方向で再度ご依頼いただければ、事実に基づいた印象的なエピソードを生成させていただきます。

どのように修正いたしましょうか？",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-30 08:26:48,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,スポーツ
