person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ジャンヌ・カルマン,長寿者,フランス,REAL,史上最も長寿と確認された人物。122歳。,1875,1997,A,longevity,https://ja.wikipedia.org/wiki/ジャンヌ・カルマン,active,122
田中カ子,長寿者,日本,REAL,119歳まで生存が確認された日本人女性。,1903,2022,A,longevity,https://ja.wikipedia.org/wiki/田中カ子,active,119
きんさんぎんさん成田きん,長寿者,日本,REAL,双子の姉妹。きんさん。,1892,2000,A,longevity,https://ja.wikipedia.org/wiki/きんさんぎんさん,active,107
きんさんぎんさん蟹江ぎん,長寿者,日本,REAL,双子の姉妹。ぎんさん。,1892,2001,A,longevity,https://ja.wikipedia.org/wiki/きんさんぎんさん,active,108
ジョージ・バーンズ,コメディアン,アメリカ,REAL,コメディアン。100歳で映画出演。,1896,1996,A,entertainment,https://ja.wikipedia.org/wiki/ジョージ・バーンズ,active,100
ボブ・ホープ,コメディアン,アメリカ,REAL,コメディアン・俳優。100歳まで活躍。,1903,2003,A,entertainment,https://ja.wikipedia.org/wiki/ボブ・ホープ,active,100
ノーマン・ロイド,俳優,アメリカ,REAL,俳優・監督。106歳まで生存。,1914,2021,B,entertainment,https://ja.wikipedia.org/wiki/ノーマン・ロイド,active,106
ルイーゼ・ライナー,女優,ドイツ,REAL,アカデミー賞2年連続受賞。104歳。,1910,2014,B,entertainment,https://ja.wikipedia.org/wiki/ルイーゼ・ライナー,active,104
ゼルダ・ルービンスタイン,女優,アメリカ,REAL,ポルターガイスト出演。76歳。,1933,2010,C,entertainment,https://ja.wikipedia.org/wiki/ゼルダ・ルービンスタイン,active,76
ジョン・グッドイナフ,科学者,アメリカ,REAL,リチウムイオン電池開発。ノーベル化学賞。100歳。,1922,2023,A,science,https://ja.wikipedia.org/wiki/ジョン・グッドイナフ,active,100
リタ・レヴィ＝モンタルチーニ,科学者,イタリア,REAL,神経成長因子発見。ノーベル生理学・医学賞。103歳。,1909,2012,A,science,https://ja.wikipedia.org/wiki/リタ・レヴィ＝モンタルチーニ,active,103
周有光,言語学者,中国,REAL,ピンイン開発者。111歳。,1906,2017,A,academics,https://ja.wikipedia.org/wiki/周有光,active,111
エマニュエル・リヴァ,女優,フランス,REAL,愛、アムール主演。アカデミー賞候補。89歳。,1927,2017,A,entertainment,https://ja.wikipedia.org/wiki/エマニュエル・リヴァ,active,89
ミケランジェロ・アントニオーニ,監督,イタリア,REAL,映画監督。欲望など。94歳。,1912,2007,A,film,https://ja.wikipedia.org/wiki/ミケランジェロ・アントニオーニ,active,94
マノエル・デ・オリヴェイラ,監督,ポルトガル,REAL,映画監督。106歳まで現役。,1908,2015,A,film,https://ja.wikipedia.org/wiki/マノエル・デ・オリヴェイラ,active,106
エリオット・カーター,作曲家,アメリカ,REAL,現代音楽作曲家。103歳まで創作。,1908,2012,A,music,https://ja.wikipedia.org/wiki/エリオット・カーター,active,103
レオン・フライシャー,ピアニスト,アメリカ,REAL,ピアニスト・指揮者。92歳。,1928,2020,B,music,https://ja.wikipedia.org/wiki/レオン・フライシャー,active,92
イヴリー・ギトリス,ヴァイオリニスト,イスラエル,REAL,ヴァイオリニスト。98歳。,1922,2020,B,music,https://ja.wikipedia.org/wiki/イヴリー・ギトリス,active,98
アリス・ヘルツ＝ゾマー,ピアニスト,チェコ,REAL,ホロコースト生存者のピアニスト。110歳。,1903,2014,A,music,https://ja.wikipedia.org/wiki/アリス・ヘルツ＝ゾマー,active,110
フィリップ殿下,王室,イギリス,REAL,エリザベス2世の夫。99歳。,1921,2021,A,royalty,https://ja.wikipedia.org/wiki/エディンバラ公フィリップ,active,99
