person_name,age,category,hint
モーツァルト,0,音楽,1756年1月27日ザルツブルクで誕生。音楽家の家庭に生まれた
ベートーヴェン,0,音楽,1770年12月ボンで洗礼を受けた。宮廷音楽家の息子として誕生
ピカソ,0,アート,1881年10月25日マラガで誕生。父は美術教師
アインシュタイン,1,科学,1歳で家族とミュンヘンに移住。言葉を話し始めるのが遅かった
チャップリン,1,映画,1歳で母親が精神的な病を発症。幼少期の困難な始まり
ゴッホ,2,アート,2歳で弟テオが誕生。生涯の親友となる弟との絆の始まり
ダーウィン,3,科学,3歳で自然観察に興味を持ち始めた。庭で昆虫を観察
ヘレン・ケラー,2,教育,1歳半で病気により視覚と聴覚を失う。暗闘と沈黙の世界へ
藤井聡太,13,将棋,中学1年で史上最年少プロ棋士に。14歳2か月の新記録
羽生善治,13,将棋,中学2年でプロ入り。将来の七冠達成を予感させる才能
大谷翔平,13,スポーツ,中学1年で花巻東高校を志望。二刀流の原点となる決意
本田圭佑,13,スポーツ,中学時代に「世界一のサッカー選手になる」と宣言
日野原重明,77,医療,77歳でよど号ハイジャック事件に遭遇。人生観が変わる体験
黒澤明,77,映画,77歳で『夢』を公開。晩年の傑作を世に送り出す
草間彌生,82,アート,82歳で新国立美術館で大規模回顧展開催
クリント・イーストウッド,82,映画,82歳で『人生の特等席』監督・主演。現役続行
バフェット,83,経済,83歳でバークシャー時価総額過去最高。投資の神様健在
宮崎駿,82,アニメ,82歳で『君たちはどう生きるか』公開。引退撤回の集大成
ネルソン・マンデラ,77,政治,77歳で南アフリカ大統領就任。アパルトヘイト撤廃の象徴
カーネル・サンダース,87,経営,87歳でKFCが世界展開。晩年も精力的に活動
